,Name,pbe0-dh-DFT-forward,pbe0-dh-DFT-reverse,pbe0-dh-DFT-reaction
0,rxn_33,16.311,56.893,-40.582
1,rxn_365,29.335,66.199,-36.865
10,rxn_853,24.23,32.135,-7.905
12,rxn_1017,30.113,35.191,-5.078
13,rxn_1024,16.556,31.934,-15.378
15,rxn_1093,26.319,34.553,-8.234
18,rxn_1285,24.178,40.584,-16.406
21,rxn_1424,24.891,34.507,-9.616
23,rxn_1466,9.334,57.383,-48.049
29,rxn_1708,16.085,51.45,-35.366
31,rxn_1814,10.545,55.399,-44.854
34,rxn_2012,13.476,53.403,-39.927
35,rxn_2211,21.219,61.495,-40.276
37,rxn_2310,18.554,56.679,-38.125
38,rxn_2334,15.142,58.328,-43.186
40,rxn_2482,14.31,56.837,-42.526
47,rxn_3225,15.44,49.583,-34.143
49,rxn_3483,22.859,44.859,-22.0
54,rxn_4392,8.145,36.0,-27.855
56,rxn_5245,36.681,38.797,-2.116
58,rxn_5374,35.757,40.721,-4.964
61,rxn_5534,37.624,37.782,-0.158
66,rxn_5751,29.909,43.185,-13.276
74,rxn_6105,39.613,48.78,-9.167
81,rxn_6322,59.505,60.688,-1.183
85,rxn_6583,47.041,40.914,6.127
86,rxn_6612,26.082,21.566,4.516
88,rxn_7236,28.22,35.715,-7.494
93,rxn_7911,31.446,76.893,-45.448
