,Name,wb2-plyp18-DFT-forward,wb2-plyp18-DFT-reverse,wb2-plyp18-DFT-reaction
0,rxn_33,7.914,53.001,-45.087
1,rxn_365,23.242,63.416,-40.174
10,rxn_853,20.385,29.791,-9.406
12,rxn_1017,23.391,32.881,-9.49
13,rxn_1024,14.419,29.363,-14.943
15,rxn_1093,19.826,32.434,-12.608
18,rxn_1285,21.567,37.839,-16.272
21,rxn_1424,19.209,32.34,-13.13
23,rxn_1466,3.027,53.496,-50.469
29,rxn_1708,11.84,48.001,-36.16
31,rxn_1814,8.389,51.804,-43.415
34,rxn_2012,9.399,49.58,-40.181
35,rxn_2211,18.039,58.182,-40.142
37,rxn_2310,12.091,54.82,-42.729
38,rxn_2334,8.595,54.809,-46.215
40,rxn_2482,7.813,53.565,-45.751
47,rxn_3225,7.96,46.05,-38.089
49,rxn_3483,15.4,41.527,-26.128
54,rxn_4392,3.928,33.52,-29.592
56,rxn_5245,33.697,36.129,-2.432
58,rxn_5374,33.387,37.757,-4.37
61,rxn_5534,37.161,36.136,1.025
66,rxn_5751,27.322,40.043,-12.721
74,rxn_6105,36.063,46.193,-10.13
81,rxn_6322,61.762,57.148,4.614
85,rxn_6583,45.987,37.054,8.934
86,rxn_6612,25.971,20.412,5.559
88,rxn_7236,26.714,32.601,-5.888
93,rxn_7911,29.934,72.318,-42.384
