,Name,m06-DFT-forward,m06-DFT-reverse,m06-DFT-reaction
0,rxn_33,14.709,50.393,-35.684
1,rxn_365,28.408,59.914,-31.506
10,rxn_853,26.659,27.105,-0.446
12,rxn_1017,28.989,30.222,-1.233
13,rxn_1024,19.415,27.451,-8.035
15,rxn_1093,26.108,30.173,-4.065
18,rxn_1285,26.272,35.388,-9.116
21,rxn_1424,25.175,30.001,-4.826
23,rxn_1466,10.402,53.386,-42.984
29,rxn_1708,16.832,44.524,-27.691
31,rxn_1814,13.833,48.792,-34.959
34,rxn_2012,15.18,46.333,-31.153
35,rxn_2211,23.412,55.389,-31.977
37,rxn_2310,15.06,49.275,-34.215
38,rxn_2334,15.811,53.935,-38.124
40,rxn_2482,15.02,52.461,-37.441
47,rxn_3225,14.29,43.046,-28.756
49,rxn_3483,21.873,40.146,-18.272
54,rxn_4392,9.471,27.647,-18.176
56,rxn_5245,33.166,35.515,-2.349
58,rxn_5374,33.881,37.29,-3.409
61,rxn_5534,37.348,36.756,0.592
66,rxn_5751,26.97,40.079,-13.108
74,rxn_6105,32.631,44.599,-11.968
81,rxn_6322,57.4,57.779,-0.379
85,rxn_6583,46.012,35.005,11.007
86,rxn_6612,25.135,16.097,9.038
88,rxn_7236,28.909,32.17,-3.261
93,rxn_7911,32.529,69.519,-36.99
