,Name,b97m-v-DFT-forward,b97m-v-DFT-reverse,b97m-v-DFT-reaction
0,rxn_33,10.15,45.835,-35.685
1,rxn_365,25.002,55.82,-30.818
10,rxn_853,24.417,26.234,-1.817
12,rxn_1017,25.77,29.523,-3.753
13,rxn_1024,16.635,25.548,-8.913
15,rxn_1093,22.108,28.457,-6.349
18,rxn_1285,24.469,34.996,-10.527
21,rxn_1424,21.603,28.199,-6.596
23,rxn_1466,4.572,54.052,-49.48
29,rxn_1708,13.019,40.327,-27.309
31,rxn_1814,11.138,46.016,-34.879
34,rxn_2012,11.535,43.488,-31.953
35,rxn_2211,20.329,52.114,-31.785
37,rxn_2310,11.355,46.402,-35.047
38,rxn_2334,12.015,50.152,-38.138
40,rxn_2482,11.724,49.201,-37.477
47,rxn_3225,11.507,41.338,-29.831
49,rxn_3483,20.081,37.962,-17.881
54,rxn_4392,1.56,20.172,-18.612
56,rxn_5245,27.517,34.403,-6.886
58,rxn_5374,28.749,36.086,-7.337
61,rxn_5534,33.729,36.207,-2.478
66,rxn_5751,22.072,34.23,-12.157
74,rxn_6105,29.041,39.289,-10.248
81,rxn_6322,57.375,53.242,4.133
85,rxn_6583,43.724,29.634,14.089
86,rxn_6612,24.948,15.001,9.947
88,rxn_7236,28.575,30.437,-1.862
93,rxn_7911,31.392,68.398,-37.007
