,Name,bhandhlyp-DFT-forward,bhandhlyp-DFT-reverse,bhandhlyp-DFT-reaction
0,rxn_33,31.585,57.864,-26.28
1,rxn_365,44.525,65.485,-20.96
10,rxn_853,37.884,33.333,4.551
12,rxn_1017,44.618,36.561,8.056
13,rxn_1024,28.125,32.294,-4.17
15,rxn_1093,41.127,35.198,5.929
18,rxn_1285,35.387,41.6,-6.212
21,rxn_1424,39.56,35.236,4.324
23,rxn_1466,25.703,55.594,-29.89
29,rxn_1708,30.618,50.507,-19.89
31,rxn_1814,22.272,53.475,-31.202
34,rxn_2012,27.343,53.395,-26.052
35,rxn_2211,33.75,61.066,-27.315
37,rxn_2310,32.261,53.131,-20.87
38,rxn_2334,29.582,56.927,-27.346
40,rxn_2482,28.583,55.247,-26.664
47,rxn_3225,26.543,53.256,-26.713
49,rxn_3483,35.407,48.623,-13.216
54,rxn_4392,14.727,39.678,-24.952
56,rxn_5245,42.145,43.321,-1.176
58,rxn_5374,40.908,46.401,-5.493
61,rxn_5534,47.601,46.58,1.021
66,rxn_5751,35.415,46.365,-10.95
74,rxn_6105,44.959,50.594,-5.636
81,rxn_6322,70.848,63.214,7.634
85,rxn_6583,57.235,43.922,13.313
86,rxn_6612,34.52,22.447,12.073
88,rxn_7236,36.613,38.356,-1.743
93,rxn_7911,43.797,77.349,-33.552
