,Name,wb97x-DFT-forward,wb97x-DFT-reverse,wb97x-DFT-reaction
0,rxn_33,21.634,62.059,-40.425
1,rxn_365,35.454,70.669,-35.214
10,rxn_853,30.218,35.995,-5.776
12,rxn_1017,35.432,38.746,-3.314
13,rxn_1024,23.119,34.946,-11.826
15,rxn_1093,32.128,37.877,-5.748
18,rxn_1285,29.98,43.122,-13.142
21,rxn_1424,31.004,37.849,-6.844
23,rxn_1466,14.857,59.535,-44.678
29,rxn_1708,23.846,55.876,-32.03
31,rxn_1814,18.013,58.136,-40.123
34,rxn_2012,20.975,56.918,-35.943
35,rxn_2211,28.131,64.713,-36.582
37,rxn_2310,24.501,57.999,-33.498
38,rxn_2334,21.534,60.387,-38.853
40,rxn_2482,20.591,58.971,-38.381
47,rxn_3225,17.953,51.198,-33.245
49,rxn_3483,25.067,46.889,-21.822
54,rxn_4392,12.762,38.44,-25.678
56,rxn_5245,43.121,45.137,-2.016
58,rxn_5374,41.92,47.172,-5.252
61,rxn_5534,45.046,44.618,0.428
66,rxn_5751,34.604,49.231,-14.627
74,rxn_6105,42.429,53.656,-11.226
81,rxn_6322,67.382,66.453,0.929
85,rxn_6583,51.932,44.091,7.842
86,rxn_6612,30.154,23.151,7.003
88,rxn_7236,32.444,37.929,-5.484
93,rxn_7911,39.053,79.088,-40.034
