,Name,cam-b3lyp-DFT-forward,cam-b3lyp-DFT-reverse,cam-b3lyp-DFT-reaction
0,rxn_33,26.932,55.317,-28.386
1,rxn_365,39.459,63.318,-23.859
10,rxn_853,34.128,30.723,3.405
12,rxn_1017,40.429,33.598,6.831
13,rxn_1024,25.256,29.728,-4.472
15,rxn_1093,37.263,32.493,4.771
18,rxn_1285,31.964,38.08,-6.115
21,rxn_1424,35.764,32.533,3.231
23,rxn_1466,19.699,54.266,-34.566
29,rxn_1708,26.582,48.784,-22.203
31,rxn_1814,19.169,51.687,-32.518
34,rxn_2012,23.186,50.851,-27.665
35,rxn_2211,29.64,58.27,-28.63
37,rxn_2310,28.562,52.275,-23.713
38,rxn_2334,25.141,54.705,-29.564
40,rxn_2482,24.327,53.409,-29.082
47,rxn_3225,21.902,47.936,-26.035
49,rxn_3483,30.48,43.704,-13.223
54,rxn_4392,12.162,34.883,-22.722
56,rxn_5245,39.268,41.131,-1.863
58,rxn_5374,38.021,43.529,-5.508
61,rxn_5534,43.514,43.194,0.32
66,rxn_5751,32.698,43.508,-10.81
74,rxn_6105,42.05,47.947,-5.898
81,rxn_6322,66.818,60.316,6.502
85,rxn_6583,53.53,39.554,13.976
86,rxn_6612,31.349,19.838,11.511
88,rxn_7236,32.698,33.796,-1.098
93,rxn_7911,39.507,73.948,-34.441
