,Name,rsx-0dh-DFT-forward,rsx-0dh-DFT-reverse,rsx-0dh-DFT-reaction
0,rxn_33,14.299,70.972,-56.672
1,rxn_365,29.123,81.304,-52.181
10,rxn_853,20.895,41.497,-20.602
12,rxn_1017,26.183,44.667,-18.484
13,rxn_1024,14.799,41.277,-26.477
15,rxn_1093,22.056,44.654,-22.598
18,rxn_1285,22.457,49.715,-27.258
21,rxn_1424,20.522,44.525,-24.004
23,rxn_1466,6.837,64.927,-58.09
29,rxn_1708,16.009,65.093,-49.084
31,rxn_1814,10.118,67.324,-57.206
34,rxn_2012,12.8,65.673,-52.873
35,rxn_2211,21.097,73.971,-52.875
37,rxn_2310,18.221,69.36,-51.139
38,rxn_2334,12.748,69.53,-56.782
40,rxn_2482,11.604,67.542,-55.938
47,rxn_3225,12.34,60.98,-48.64
49,rxn_3483,18.612,56.068,-37.456
54,rxn_4392,6.815,50.127,-43.312
56,rxn_5245,45.917,46.768,-0.851
58,rxn_5374,44.011,48.362,-4.351
61,rxn_5534,43.191,42.614,0.577
66,rxn_5751,37.792,52.154,-14.362
74,rxn_6105,48.003,58.687,-10.684
81,rxn_6322,64.941,72.235,-7.294
85,rxn_6583,47.719,52.785,-5.066
86,rxn_6612,26.058,29.664,-3.606
88,rxn_7236,27.459,45.731,-18.273
93,rxn_7911,32.266,88.235,-55.969
