,Name,b2-plyp-DFT-forward,b2-plyp-DFT-reverse,b2-plyp-DFT-reaction
0,rxn_33,17.755,45.992,-28.236
1,rxn_365,30.912,54.192,-23.28
10,rxn_853,28.182,24.629,3.553
12,rxn_1017,33.451,27.816,5.635
13,rxn_1024,20.694,24.32,-3.627
15,rxn_1093,30.318,26.587,3.731
18,rxn_1285,27.688,32.907,-5.22
21,rxn_1424,29.371,26.656,2.716
23,rxn_1466,11.462,49.389,-37.927
29,rxn_1708,18.193,40.433,-22.24
31,rxn_1814,13.887,45.079,-31.192
34,rxn_2012,16.302,43.426,-27.124
35,rxn_2211,23.761,51.285,-27.524
37,rxn_2310,19.85,46.612,-26.762
38,rxn_2334,16.961,47.988,-31.027
40,rxn_2482,16.461,47.16,-30.699
47,rxn_3225,16.615,39.821,-23.206
49,rxn_3483,24.803,35.785,-10.982
54,rxn_4392,9.521,24.916,-15.395
56,rxn_5245,31.001,32.636,-1.635
58,rxn_5374,31.044,34.88,-3.836
61,rxn_5534,36.744,35.325,1.419
66,rxn_5751,24.363,36.674,-12.311
74,rxn_6105,33.373,41.44,-8.067
81,rxn_6322,59.896,51.259,8.637
85,rxn_6583,48.086,30.704,17.383
86,rxn_6612,28.414,15.495,12.919
88,rxn_7236,29.623,26.747,2.876
93,rxn_7911,33.56,66.632,-33.072
