,Name,m06l-DFT-forward,m06l-DFT-reverse,m06l-DFT-reaction
0,rxn_33,14.431,42.737,-28.306
1,rxn_365,27.918,54.086,-26.169
10,rxn_853,29.05,23.416,5.634
12,rxn_1017,30.359,26.469,3.89
13,rxn_1024,19.609,23.033,-3.424
15,rxn_1093,25.878,24.944,0.934
18,rxn_1285,27.524,32.05,-4.526
21,rxn_1424,25.103,24.651,0.452
23,rxn_1466,7.854,51.228,-43.374
29,rxn_1708,15.731,37.059,-21.328
31,rxn_1814,13.442,43.845,-30.403
34,rxn_2012,14.036,40.095,-26.059
35,rxn_2211,22.621,49.231,-26.61
37,rxn_2310,13.313,43.404,-30.09
38,rxn_2334,15.026,47.256,-32.229
40,rxn_2482,14.68,46.28,-31.6
47,rxn_3225,14.45,36.006,-21.556
49,rxn_3483,23.647,32.725,-9.078
54,rxn_4392,5.533,14.643,-9.11
56,rxn_5245,26.93,31.755,-4.825
58,rxn_5374,28.643,34.186,-5.544
61,rxn_5534,35.063,36.101,-1.037
66,rxn_5751,20.269,32.331,-12.062
74,rxn_6105,25.186,37.28,-12.095
81,rxn_6322,54.22,54.793,-0.572
85,rxn_6583,42.809,25.744,17.066
86,rxn_6612,23.712,11.769,11.943
88,rxn_7236,29.313,27.788,1.526
93,rxn_7911,31.057,65.034,-33.976
