,Name,b3lyp-DFT-forward,b3lyp-DFT-reverse,b3lyp-DFT-reaction
0,rxn_33,29.718,44.741,-15.022
1,rxn_365,40.159,52.071,-11.911
10,rxn_853,36.819,23.553,13.266
12,rxn_1017,44.009,26.333,17.675
13,rxn_1024,26.301,22.627,3.675
15,rxn_1093,40.891,24.854,16.038
18,rxn_1285,33.191,31.237,1.954
21,rxn_1424,39.244,24.924,14.319
23,rxn_1466,21.771,48.852,-27.081
29,rxn_1708,26.828,38.555,-11.727
31,rxn_1814,19.231,42.948,-23.717
34,rxn_2012,23.797,41.776,-17.979
35,rxn_2211,29.786,48.984,-19.198
37,rxn_2310,29.157,43.005,-13.848
38,rxn_2334,27.427,46.637,-19.21
40,rxn_2482,26.909,45.721,-18.812
47,rxn_3225,25.182,39.631,-14.449
49,rxn_3483,34.668,35.453,-0.786
54,rxn_4392,11.871,23.15,-11.279
56,rxn_5245,32.186,35.228,-3.042
58,rxn_5374,31.62,37.882,-6.262
61,rxn_5534,38.828,39.639,-0.811
66,rxn_5751,26.867,36.45,-9.583
74,rxn_6105,35.845,40.084,-4.239
81,rxn_6322,62.052,51.817,10.235
85,rxn_6583,52.764,30.734,22.03
86,rxn_6612,31.074,13.54,17.535
88,rxn_7236,33.015,26.526,6.49
93,rxn_7911,38.318,65.756,-27.439
