,Name,wb97x-DFT-forward,wb97x-DFT-reverse,wb97x-DFT-reaction
0,rxn_33,21.634,62.059,-40.425
1,rxn_365,35.454,70.669,-35.214
10,rxn_853,30.218,35.995,-5.776
14,rxn_1093,32.128,37.877,-5.748
17,rxn_1285,29.98,43.122,-13.142
20,rxn_1424,31.004,37.849,-6.844
27,rxn_1708,23.846,55.876,-32.03
29,rxn_1814,18.013,58.136,-40.123
32,rxn_2012,20.975,56.918,-35.943
35,rxn_2482,20.591,58.971,-38.381
43,rxn_3483,25.067,46.889,-21.822
48,rxn_4392,12.762,38.44,-25.678
50,rxn_5245,43.121,45.137,-2.016
55,rxn_5534,45.046,44.618,0.428
68,rxn_6105,42.429,53.656,-11.226
75,rxn_6322,67.382,66.453,0.929
79,rxn_6612,30.154,23.151,7.003
81,rxn_7236,32.444,37.929,-5.484
86,rxn_7911,39.053,79.088,-40.034
