,Name,wb2-plyp18-DFT-forward,wb2-plyp18-DFT-reverse,wb2-plyp18-DFT-reaction
0,rxn_33,7.914,53.001,-45.087
1,rxn_365,23.242,63.416,-40.174
10,rxn_853,20.385,29.791,-9.406
14,rxn_1093,19.826,32.434,-12.608
17,rxn_1285,21.567,37.839,-16.272
20,rxn_1424,19.209,32.34,-13.13
27,rxn_1708,11.84,48.001,-36.16
29,rxn_1814,8.389,51.804,-43.415
32,rxn_2012,9.399,49.58,-40.181
35,rxn_2482,7.813,53.565,-45.751
43,rxn_3483,15.4,41.527,-26.128
48,rxn_4392,3.928,33.52,-29.592
50,rxn_5245,33.697,36.129,-2.432
55,rxn_5534,37.161,36.136,1.025
68,rxn_6105,36.063,46.193,-10.13
75,rxn_6322,61.762,57.148,4.614
79,rxn_6612,25.971,20.412,5.559
81,rxn_7236,26.714,32.601,-5.888
86,rxn_7911,29.934,72.318,-42.384
