,Name,m06l-DFT-forward,m06l-DFT-reverse,m06l-DFT-reaction
0,rxn_33,14.431,42.737,-28.306
1,rxn_365,27.918,54.086,-26.169
10,rxn_853,29.05,23.416,5.634
14,rxn_1093,25.878,24.944,0.934
17,rxn_1285,27.524,32.05,-4.526
20,rxn_1424,25.103,24.651,0.452
27,rxn_1708,15.731,37.059,-21.328
29,rxn_1814,13.442,43.845,-30.403
32,rxn_2012,14.036,40.095,-26.059
35,rxn_2482,14.68,46.28,-31.6
43,rxn_3483,23.647,32.725,-9.078
48,rxn_4392,5.533,14.643,-9.11
50,rxn_5245,26.93,31.755,-4.825
55,rxn_5534,35.063,36.101,-1.037
68,rxn_6105,25.186,37.28,-12.095
75,rxn_6322,54.22,54.793,-0.572
79,rxn_6612,23.712,11.769,11.943
81,rxn_7236,29.313,27.788,1.526
86,rxn_7911,31.057,65.034,-33.976
