,Name,pbe0-dh-DFT-forward,pbe0-dh-DFT-reverse,pbe0-dh-DFT-reaction
0,rxn_33,16.311,56.893,-40.582
1,rxn_365,29.335,66.199,-36.865
10,rxn_853,24.23,32.135,-7.905
14,rxn_1093,26.319,34.553,-8.234
17,rxn_1285,24.178,40.584,-16.406
20,rxn_1424,24.891,34.507,-9.616
27,rxn_1708,16.085,51.45,-35.366
29,rxn_1814,10.545,55.399,-44.854
32,rxn_2012,13.476,53.403,-39.927
35,rxn_2482,14.31,56.837,-42.526
43,rxn_3483,22.859,44.859,-22.0
48,rxn_4392,8.145,36.0,-27.855
50,rxn_5245,36.681,38.797,-2.116
55,rxn_5534,37.624,37.782,-0.158
68,rxn_6105,39.613,48.78,-9.167
75,rxn_6322,59.505,60.688,-1.183
79,rxn_6612,26.082,21.566,4.516
81,rxn_7236,28.22,35.715,-7.494
86,rxn_7911,31.446,76.893,-45.448
