,Name,wb2-plyp-DFT-forward,wb2-plyp-DFT-reverse,wb2-plyp-DFT-reaction
0,rxn_33,12.349,59.194,-46.846
1,rxn_365,28.063,69.081,-41.018
10,rxn_853,23.146,33.762,-10.616
14,rxn_1093,23.345,36.511,-13.165
17,rxn_1285,24.353,41.793,-17.441
20,rxn_1424,22.545,36.448,-13.903
27,rxn_1708,16.005,53.528,-37.524
29,rxn_1814,11.769,56.56,-44.791
32,rxn_2012,13.409,54.967,-41.558
35,rxn_2482,11.454,57.617,-46.163
43,rxn_3483,18.226,46.708,-28.482
48,rxn_4392,6.599,39.465,-32.866
50,rxn_5245,39.171,40.261,-1.091
55,rxn_5534,41.684,39.845,1.839
68,rxn_6105,41.173,51.081,-9.908
75,rxn_6322,65.422,62.577,2.845
79,rxn_6612,27.913,23.675,4.238
81,rxn_7236,28.615,36.9,-8.285
86,rxn_7911,33.615,77.436,-43.821
