,Name,rsx-0dh-DFT-forward,rsx-0dh-DFT-reverse,rsx-0dh-DFT-reaction
0,rxn_33,14.299,70.972,-56.672
1,rxn_365,29.123,81.304,-52.181
10,rxn_853,20.895,41.497,-20.602
14,rxn_1093,22.056,44.654,-22.598
17,rxn_1285,22.457,49.715,-27.258
20,rxn_1424,20.522,44.525,-24.004
27,rxn_1708,16.009,65.093,-49.084
29,rxn_1814,10.118,67.324,-57.206
32,rxn_2012,12.8,65.673,-52.873
35,rxn_2482,11.604,67.542,-55.938
43,rxn_3483,18.612,56.068,-37.456
48,rxn_4392,6.815,50.127,-43.312
50,rxn_5245,45.917,46.768,-0.851
55,rxn_5534,43.191,42.614,0.577
68,rxn_6105,48.003,58.687,-10.684
75,rxn_6322,64.941,72.235,-7.294
79,rxn_6612,26.058,29.664,-3.606
81,rxn_7236,27.459,45.731,-18.273
86,rxn_7911,32.266,88.235,-55.969
