,Name,wb97m-v-DFT-forward,wb97m-v-DFT-reverse,wb97m-v-DFT-reaction
0,rxn_33,11.027,56.985,-45.958
1,rxn_365,27.022,65.834,-38.813
10,rxn_853,22.815,32.356,-9.54
14,rxn_1093,22.387,35.024,-12.637
17,rxn_1285,24.92,39.337,-14.417
20,rxn_1424,22.112,34.907,-12.795
27,rxn_1708,15.886,51.415,-35.529
29,rxn_1814,12.611,53.347,-40.736
32,rxn_2012,14.087,52.371,-38.284
35,rxn_2482,11.613,55.38,-43.767
43,rxn_3483,17.048,45.127,-28.079
48,rxn_4392,9.185,37.901,-28.715
50,rxn_5245,37.055,40.295,-3.24
55,rxn_5534,41.016,40.901,0.115
68,rxn_6105,37.93,49.959,-12.029
75,rxn_6322,65.637,60.642,4.995
79,rxn_6612,28.155,21.751,6.404
81,rxn_7236,28.516,36.043,-7.527
86,rxn_7911,33.215,73.154,-39.938
