,Name,pbe0-DFT-forward,pbe0-DFT-reverse,pbe0-DFT-reaction
0,rxn_33,19.839,52.347,-32.508
1,rxn_365,31.06,61.366,-30.306
10,rxn_853,26.906,28.824,-1.918
14,rxn_1093,29.84,30.809,-0.969
17,rxn_1285,25.18,36.831,-11.65
20,rxn_1424,28.129,30.757,-2.628
27,rxn_1708,17.874,47.122,-29.248
29,rxn_1814,11.236,51.418,-40.182
32,rxn_2012,14.794,49.189,-34.395
35,rxn_2482,17.476,53.462,-35.985
43,rxn_3483,26.101,40.714,-14.613
48,rxn_4392,7.773,30.351,-22.578
50,rxn_5245,33.924,37.42,-3.497
55,rxn_5534,35.461,37.303,-1.842
68,rxn_6105,37.774,45.077,-7.303
75,rxn_6322,57.485,57.561,-0.075
79,rxn_6612,25.832,18.187,7.646
81,rxn_7236,28.33,32.182,-3.852
86,rxn_7911,31.377,73.051,-41.674
