,Name,b2k-plyp-DFT-forward,b2k-plyp-DFT-reverse,b2k-plyp-DFT-reaction
0,rxn_33,12.926,49.889,-36.964
1,rxn_365,27.706,58.633,-30.927
10,rxn_853,24.353,27.301,-2.948
14,rxn_1093,25.624,29.75,-4.126
17,rxn_1285,25.443,35.985,-10.542
20,rxn_1424,24.937,29.814,-4.877
27,rxn_1708,14.968,44.323,-29.356
29,rxn_1814,11.824,48.847,-37.024
32,rxn_2012,13.508,47.081,-33.573
35,rxn_2482,12.196,50.251,-38.055
43,rxn_3483,20.724,39.603,-18.878
48,rxn_4392,9.802,31.276,-21.475
50,rxn_5245,32.748,33.46,-0.712
55,rxn_5534,37.635,35.199,2.436
68,rxn_6105,35.424,45.19,-9.767
75,rxn_6322,60.714,54.389,6.326
79,rxn_6612,27.997,18.849,9.148
81,rxn_7236,28.874,30.336,-1.462
86,rxn_7911,32.435,70.047,-37.612
