,Name,bhandhlyp-DFT-forward,bhandhlyp-DFT-reverse,bhandhlyp-DFT-reaction
0,rxn_33,31.585,57.864,-26.28
1,rxn_365,44.525,65.485,-20.96
10,rxn_853,37.884,33.333,4.551
14,rxn_1093,41.127,35.198,5.929
17,rxn_1285,35.387,41.6,-6.212
20,rxn_1424,39.56,35.236,4.324
27,rxn_1708,30.618,50.507,-19.89
29,rxn_1814,22.272,53.475,-31.202
32,rxn_2012,27.343,53.395,-26.052
35,rxn_2482,28.583,55.247,-26.664
43,rxn_3483,35.407,48.623,-13.216
48,rxn_4392,14.727,39.678,-24.952
50,rxn_5245,42.145,43.321,-1.176
55,rxn_5534,47.601,46.58,1.021
68,rxn_6105,44.959,50.594,-5.636
75,rxn_6322,70.848,63.214,7.634
79,rxn_6612,34.52,22.447,12.073
81,rxn_7236,36.613,38.356,-1.743
86,rxn_7911,43.797,77.349,-33.552
