,Name,m062x-DFT-forward,m062x-DFT-reverse,m062x-DFT-reaction
0,rxn_33,12.371,52.259,-39.888
1,rxn_365,27.259,62.236,-34.977
10,rxn_853,24.245,27.945,-3.7
14,rxn_1093,23.769,31.072,-7.303
17,rxn_1285,25.053,35.622,-10.569
20,rxn_1424,23.027,30.902,-7.875
27,rxn_1708,16.104,46.92,-30.816
29,rxn_1814,11.875,49.803,-37.929
32,rxn_2012,13.485,47.609,-34.124
35,rxn_2482,12.082,51.602,-39.52
43,rxn_3483,19.384,42.93,-23.546
48,rxn_4392,8.369,36.557,-28.188
50,rxn_5245,35.515,36.817,-1.302
55,rxn_5534,40.06,39.854,0.207
68,rxn_6105,38.828,48.807,-9.98
75,rxn_6322,63.582,61.733,1.849
79,rxn_6612,28.0,21.747,6.252
81,rxn_7236,30.44,35.642,-5.202
86,rxn_7911,32.414,69.103,-36.688
