,Name,cam-b3lyp-DFT-forward,cam-b3lyp-DFT-reverse,cam-b3lyp-DFT-reaction
0,rxn_33,26.932,55.317,-28.386
1,rxn_365,39.459,63.318,-23.859
10,rxn_853,34.128,30.723,3.405
14,rxn_1093,37.263,32.493,4.771
17,rxn_1285,31.964,38.08,-6.115
20,rxn_1424,35.764,32.533,3.231
27,rxn_1708,26.582,48.784,-22.203
29,rxn_1814,19.169,51.687,-32.518
32,rxn_2012,23.186,50.851,-27.665
35,rxn_2482,24.327,53.409,-29.082
43,rxn_3483,30.48,43.704,-13.223
48,rxn_4392,12.162,34.883,-22.722
50,rxn_5245,39.268,41.131,-1.863
55,rxn_5534,43.514,43.194,0.32
68,rxn_6105,42.05,47.947,-5.898
75,rxn_6322,66.818,60.316,6.502
79,rxn_6612,31.349,19.838,11.511
81,rxn_7236,32.698,33.796,-1.098
86,rxn_7911,39.507,73.948,-34.441
