,Name,b3lyp-DFT-forward,b3lyp-DFT-reverse,b3lyp-DFT-reaction
0,rxn_33,29.718,44.741,-15.022
1,rxn_365,40.159,52.071,-11.911
10,rxn_853,36.819,23.553,13.266
14,rxn_1093,40.891,24.854,16.038
17,rxn_1285,33.191,31.237,1.954
20,rxn_1424,39.244,24.924,14.319
27,rxn_1708,26.828,38.555,-11.727
29,rxn_1814,19.231,42.948,-23.717
32,rxn_2012,23.797,41.776,-17.979
35,rxn_2482,26.909,45.721,-18.812
43,rxn_3483,34.668,35.453,-0.786
48,rxn_4392,11.871,23.15,-11.279
50,rxn_5245,32.186,35.228,-3.042
55,rxn_5534,38.828,39.639,-0.811
68,rxn_6105,35.845,40.084,-4.239
75,rxn_6322,62.052,51.817,10.235
79,rxn_6612,31.074,13.54,17.535
81,rxn_7236,33.015,26.526,6.49
86,rxn_7911,38.318,65.756,-27.439
