,Name,b97m-v-DFT-forward,b97m-v-DFT-reverse,b97m-v-DFT-reaction
0,rxn_33,10.15,45.835,-35.685
1,rxn_365,25.002,55.82,-30.818
10,rxn_853,24.417,26.234,-1.817
14,rxn_1093,22.108,28.457,-6.349
17,rxn_1285,24.469,34.996,-10.527
20,rxn_1424,21.603,28.199,-6.596
27,rxn_1708,13.019,40.327,-27.309
29,rxn_1814,11.138,46.016,-34.879
32,rxn_2012,11.535,43.488,-31.953
35,rxn_2482,11.724,49.201,-37.477
43,rxn_3483,20.081,37.962,-17.881
48,rxn_4392,1.56,20.172,-18.612
50,rxn_5245,27.517,34.403,-6.886
55,rxn_5534,33.729,36.207,-2.478
68,rxn_6105,29.041,39.289,-10.248
75,rxn_6322,57.375,53.242,4.133
79,rxn_6612,24.948,15.001,9.947
81,rxn_7236,28.575,30.437,-1.862
86,rxn_7911,31.392,68.398,-37.007
