,Name,blyp-DFT-forward,blyp-DFT-reverse,blyp-DFT-reaction
0,rxn_33,30.678,34.811,-4.133
1,rxn_365,39.129,41.534,-2.405
10,rxn_853,37.818,16.562,21.256
14,rxn_1093,42.755,17.418,25.337
17,rxn_1285,33.15,23.844,9.306
20,rxn_1424,41.059,17.482,23.578
27,rxn_1708,26.098,29.389,-3.291
29,rxn_1814,18.777,34.696,-15.919
32,rxn_2012,23.215,33.131,-9.917
35,rxn_2482,27.641,38.315,-10.674
43,rxn_3483,35.921,25.946,9.975
48,rxn_4392,9.98,10.169,-0.19
50,rxn_5245,25.582,29.873,-4.291
55,rxn_5534,33.685,35.636,-1.95
68,rxn_6105,29.122,32.166,-3.044
75,rxn_6322,57.2,43.264,13.936
79,rxn_6612,29.86,6.738,23.122
81,rxn_7236,31.532,17.832,13.7
86,rxn_7911,36.0,56.917,-20.917
