,Name,wb97x-DFT-forward,wb97x-DFT-reverse,wb97x-DFT-reaction
0,rxn_33,21.634,62.059,-40.425
1,rxn_216,21.883,53.319,-31.436
2,rxn_365,35.454,70.669,-35.214
5,rxn_632,22.774,62.079,-39.306
9,rxn_721,24.58,66.211,-41.631
10,rxn_769,32.111,34.99,-2.879
14,rxn_853,30.218,35.995,-5.776
16,rxn_971,30.338,45.255,-14.917
17,rxn_1017,35.432,38.746,-3.314
18,rxn_1024,23.119,34.946,-11.826
20,rxn_1093,32.128,37.877,-5.748
21,rxn_1181,26.059,36.783,-10.725
24,rxn_1248,32.55,36.657,-4.106
25,rxn_1285,29.98,43.122,-13.142
28,rxn_1394,25.004,34.835,-9.831
29,rxn_1424,31.004,37.849,-6.844
30,rxn_1441,35.609,40.488,-4.879
31,rxn_1463,18.42,60.431,-42.011
32,rxn_1466,14.857,59.535,-44.678
33,rxn_1479,25.962,63.338,-37.376
37,rxn_1536,21.031,53.62,-32.589
39,rxn_1708,23.846,55.876,-32.03
41,rxn_1779,22.394,53.876,-31.482
42,rxn_1814,18.013,58.136,-40.123
45,rxn_2012,20.975,56.918,-35.943
46,rxn_2211,28.131,64.713,-36.582
48,rxn_2270,18.636,57.89,-39.254
49,rxn_2310,24.501,57.999,-33.498
50,rxn_2334,21.534,60.387,-38.853
52,rxn_2482,20.591,58.971,-38.381
53,rxn_2517,27.355,58.277,-30.923
54,rxn_2530,22.494,60.342,-37.848
56,rxn_2645,19.639,58.073,-38.434
58,rxn_2890,20.119,58.567,-38.448
60,rxn_2972,29.92,50.829,-20.909
63,rxn_3225,17.953,51.198,-33.245
65,rxn_3483,25.067,46.889,-21.822
66,rxn_3536,24.041,47.993,-23.951
70,rxn_4392,12.762,38.44,-25.678
71,rxn_4581,27.968,49.244,-21.277
73,rxn_5129,4.828,43.27,-38.441
74,rxn_5245,43.121,45.137,-2.016
75,rxn_5345,43.963,48.359,-4.396
76,rxn_5374,41.92,47.172,-5.252
79,rxn_5534,45.046,44.618,0.428
84,rxn_5751,34.604,49.231,-14.627
89,rxn_5956,44.451,65.781,-21.33
93,rxn_6105,42.429,53.656,-11.226
96,rxn_6178,44.661,64.655,-19.994
97,rxn_6180,32.742,44.062,-11.32
101,rxn_6322,67.382,66.453,0.929
104,rxn_6410,30.723,28.244,2.479
106,rxn_6583,51.932,44.091,7.842
107,rxn_6612,30.154,23.151,7.003
109,rxn_7236,32.444,37.929,-5.484
114,rxn_7911,39.053,79.088,-40.034
