,Name,blyp-DFT-forward,blyp-DFT-reverse,blyp-DFT-reaction
0,rxn_33,30.678,34.811,-4.133
1,rxn_216,31.028,31.273,-0.245
2,rxn_365,39.129,41.534,-2.405
5,rxn_632,32.043,37.467,-5.424
9,rxn_721,27.966,38.697,-10.731
10,rxn_769,39.691,13.666,26.025
14,rxn_853,37.818,16.562,21.256
16,rxn_971,35.036,25.139,9.897
17,rxn_1017,45.447,19.028,26.419
18,rxn_1024,26.58,15.602,10.978
20,rxn_1093,42.755,17.418,25.337
21,rxn_1181,29.098,17.749,11.348
24,rxn_1248,42.409,16.628,25.782
25,rxn_1285,33.15,23.844,9.306
28,rxn_1394,29.793,13.638,16.155
29,rxn_1424,41.059,17.482,23.578
30,rxn_1441,43.015,20.276,22.739
31,rxn_1463,24.288,44.701,-20.414
32,rxn_1466,20.178,44.161,-23.983
33,rxn_1479,34.055,45.455,-11.401
37,rxn_1536,23.257,28.118,-4.862
39,rxn_1708,26.098,29.389,-3.291
41,rxn_1779,24.972,27.975,-3.002
42,rxn_1814,18.777,34.696,-15.919
45,rxn_2012,23.215,33.131,-9.917
46,rxn_2211,28.726,39.812,-11.086
48,rxn_2270,28.738,38.138,-9.399
49,rxn_2310,28.613,34.83,-6.217
50,rxn_2334,27.714,38.523,-10.808
52,rxn_2482,27.641,38.315,-10.674
53,rxn_2517,33.475,36.862,-3.387
54,rxn_2530,29.356,38.226,-8.869
56,rxn_2645,25.011,36.021,-11.01
58,rxn_2890,24.404,36.144,-11.74
60,rxn_2972,38.733,28.043,10.69
63,rxn_3225,25.828,29.778,-3.949
65,rxn_3483,35.921,25.946,9.975
66,rxn_3536,32.01,23.313,8.697
70,rxn_4392,9.98,10.169,-0.19
71,rxn_4581,37.536,22.438,15.098
73,rxn_5129,14.087,17.286,-3.199
74,rxn_5245,25.582,29.873,-4.291
75,rxn_5345,27.007,33.298,-6.291
76,rxn_5374,25.507,32.33,-6.823
79,rxn_5534,33.685,35.636,-1.95
84,rxn_5751,20.916,29.454,-8.538
89,rxn_5956,27.436,44.118,-16.682
93,rxn_6105,29.122,32.166,-3.044
96,rxn_6178,27.13,41.984,-14.853
97,rxn_6180,20.652,23.187,-2.535
101,rxn_6322,57.2,43.264,13.936
104,rxn_6410,32.711,8.589,24.122
106,rxn_6583,50.698,20.747,29.952
107,rxn_6612,29.86,6.738,23.122
109,rxn_7236,31.532,17.832,13.7
114,rxn_7911,36.0,56.917,-20.917
