,Name,rsx-qidh-DFT-forward,rsx-qidh-DFT-reverse,rsx-qidh-DFT-reaction
0,rxn_33,8.767,64.231,-55.464
1,rxn_216,8.238,52.6,-44.362
2,rxn_365,24.292,74.601,-50.309
5,rxn_632,8.986,63.293,-54.307
9,rxn_721,13.487,69.032,-55.545
10,rxn_769,19.807,36.649,-16.842
14,rxn_853,18.005,36.981,-18.976
16,rxn_971,20.151,47.689,-27.538
17,rxn_1017,22.439,40.331,-17.892
18,rxn_1024,12.817,37.035,-24.218
20,rxn_1093,18.458,40.168,-21.71
21,rxn_1181,15.801,38.698,-22.897
24,rxn_1248,19.171,38.261,-19.089
25,rxn_1285,20.503,45.576,-25.073
28,rxn_1394,14.215,36.591,-22.377
29,rxn_1424,17.402,40.079,-22.678
30,rxn_1441,23.946,42.763,-18.817
31,rxn_1463,6.065,61.131,-55.066
32,rxn_1466,2.686,60.655,-57.969
33,rxn_1479,15.389,68.018,-52.629
37,rxn_1536,8.336,56.242,-47.906
39,rxn_1708,11.506,58.841,-47.334
41,rxn_1779,9.68,56.579,-46.899
42,rxn_1814,7.609,62.039,-54.429
45,rxn_2012,9.203,59.97,-50.767
46,rxn_2211,18.028,68.505,-50.477
48,rxn_2270,4.342,61.015,-56.673
49,rxn_2310,13.675,64.957,-51.282
50,rxn_2334,8.239,64.202,-55.963
52,rxn_2482,7.27,62.525,-55.255
53,rxn_2517,14.615,63.267,-48.652
54,rxn_2530,8.899,64.101,-55.202
56,rxn_2645,7.13,61.594,-54.464
58,rxn_2890,8.13,62.713,-54.583
60,rxn_2972,21.218,55.995,-34.777
63,rxn_3225,9.142,55.393,-46.251
65,rxn_3483,15.309,50.716,-35.408
66,rxn_3536,15.127,52.545,-37.418
70,rxn_4392,6.327,44.666,-38.339
71,rxn_4581,19.525,57.399,-37.874
73,rxn_5129,-5.184,48.736,-53.92
74,rxn_5245,40.457,41.268,-0.812
75,rxn_5345,40.661,44.0,-3.339
76,rxn_5374,39.359,42.834,-3.475
79,rxn_5534,39.551,38.179,1.372
84,rxn_5751,32.661,47.6,-14.939
89,rxn_5956,46.407,66.922,-20.515
93,rxn_6105,42.786,54.476,-11.69
96,rxn_6178,45.897,66.038,-20.142
97,rxn_6180,31.465,43.862,-12.397
101,rxn_6322,61.783,66.099,-4.317
104,rxn_6410,24.185,30.093,-5.908
106,rxn_6583,45.293,46.971,-1.678
107,rxn_6612,25.031,26.644,-1.613
109,rxn_7236,26.101,40.875,-14.774
114,rxn_7911,29.475,82.527,-53.053
