,Name,b2k-plyp-DFT-forward,b2k-plyp-DFT-reverse,b2k-plyp-DFT-reaction
0,rxn_33,12.926,49.889,-36.964
1,rxn_216,13.537,42.024,-28.487
2,rxn_365,27.706,58.633,-30.927
5,rxn_632,13.521,50.448,-36.927
9,rxn_721,17.127,54.196,-37.069
10,rxn_769,25.525,26.537,-1.012
14,rxn_853,24.353,27.301,-2.948
16,rxn_971,25.262,38.076,-12.814
17,rxn_1017,28.932,30.783,-1.851
18,rxn_1024,18.239,27.301,-9.062
20,rxn_1093,25.624,29.75,-4.126
21,rxn_1181,21.207,29.148,-7.942
24,rxn_1248,26.11,28.257,-2.147
25,rxn_1285,25.443,35.985,-10.542
28,rxn_1394,19.761,26.733,-6.972
29,rxn_1424,24.937,29.814,-4.877
30,rxn_1441,29.54,32.895,-3.355
31,rxn_1463,11.25,51.855,-40.605
32,rxn_1466,7.97,50.896,-42.926
33,rxn_1479,19.007,55.822,-36.814
37,rxn_1536,12.261,42.229,-29.968
39,rxn_1708,14.968,44.323,-29.356
41,rxn_1779,13.481,42.315,-28.835
42,rxn_1814,11.824,48.847,-37.024
45,rxn_2012,13.508,47.081,-33.573
46,rxn_2211,21.645,55.323,-33.678
48,rxn_2270,9.954,49.035,-39.081
49,rxn_2310,16.925,51.167,-34.243
50,rxn_2334,12.818,51.279,-38.462
52,rxn_2482,12.196,50.251,-38.055
53,rxn_2517,18.62,50.125,-31.505
54,rxn_2530,13.479,51.285,-37.806
56,rxn_2645,11.696,48.962,-37.266
58,rxn_2890,11.763,49.762,-37.999
60,rxn_2972,25.422,43.482,-18.06
63,rxn_3225,13.291,43.677,-30.386
65,rxn_3483,20.724,39.603,-18.878
66,rxn_3536,19.848,39.901,-20.053
70,rxn_4392,9.802,31.276,-21.475
71,rxn_4581,23.758,43.431,-19.672
73,rxn_5129,-0.726,35.412,-36.138
74,rxn_5245,32.748,33.46,-0.712
75,rxn_5345,33.749,37.233,-3.485
76,rxn_5374,32.785,35.619,-2.833
79,rxn_5534,37.635,35.199,2.436
84,rxn_5751,25.76,39.385,-13.625
89,rxn_5956,38.061,58.117,-20.056
93,rxn_6105,35.424,45.19,-9.767
96,rxn_6178,36.618,55.254,-18.635
97,rxn_6180,24.791,35.314,-10.522
101,rxn_6322,60.714,54.389,6.326
104,rxn_6410,27.55,19.871,7.679
106,rxn_6583,47.292,34.819,12.473
107,rxn_6612,27.997,18.849,9.148
109,rxn_7236,28.874,30.336,-1.462
114,rxn_7911,32.435,70.047,-37.612
