,Name,m062x-DFT-forward,m062x-DFT-reverse,m062x-DFT-reaction
0,rxn_33,12.371,52.259,-39.888
1,rxn_216,13.174,43.496,-30.322
2,rxn_365,27.259,62.236,-34.977
5,rxn_632,12.601,51.002,-38.4
9,rxn_721,17.175,56.565,-39.39
10,rxn_769,25.56,27.502,-1.942
14,rxn_853,24.245,27.945,-3.7
16,rxn_971,24.496,37.576,-13.08
17,rxn_1017,27.827,31.519,-3.692
18,rxn_1024,17.776,27.595,-9.819
20,rxn_1093,23.769,31.072,-7.303
21,rxn_1181,20.96,29.306,-8.346
24,rxn_1248,25.21,29.59,-4.38
25,rxn_1285,25.053,35.622,-10.569
28,rxn_1394,19.572,27.437,-7.866
29,rxn_1424,23.027,30.902,-7.875
30,rxn_1441,28.933,33.808,-4.875
31,rxn_1463,11.543,52.064,-40.52
32,rxn_1466,8.16,51.594,-43.434
33,rxn_1479,19.54,57.456,-37.916
37,rxn_1536,13.245,44.331,-31.086
39,rxn_1708,16.104,46.92,-30.816
41,rxn_1779,14.874,44.833,-29.959
42,rxn_1814,11.875,49.803,-37.929
45,rxn_2012,13.485,47.609,-34.124
46,rxn_2211,21.614,56.246,-34.632
48,rxn_2270,8.823,50.049,-41.225
49,rxn_2310,16.286,52.285,-36.0
50,rxn_2334,12.992,53.236,-40.244
52,rxn_2482,12.082,51.602,-39.52
53,rxn_2517,18.316,51.634,-33.318
54,rxn_2530,13.843,53.499,-39.656
56,rxn_2645,11.606,50.294,-38.688
58,rxn_2890,12.519,51.067,-38.548
60,rxn_2972,24.248,47.856,-23.607
63,rxn_3225,12.967,47.617,-34.65
65,rxn_3483,19.384,42.93,-23.546
66,rxn_3536,19.548,45.123,-25.575
70,rxn_4392,8.369,36.557,-28.188
71,rxn_4581,21.147,45.755,-24.608
73,rxn_5129,0.274,39.665,-39.391
74,rxn_5245,35.515,36.817,-1.302
75,rxn_5345,36.716,41.079,-4.363
76,rxn_5374,35.061,39.047,-3.986
79,rxn_5534,40.06,39.854,0.207
84,rxn_5751,30.536,42.332,-11.796
89,rxn_5956,42.371,60.416,-18.044
93,rxn_6105,38.828,48.807,-9.98
96,rxn_6178,42.215,59.339,-17.123
97,rxn_6180,28.919,38.768,-9.849
101,rxn_6322,63.582,61.733,1.849
104,rxn_6410,28.111,27.427,0.684
106,rxn_6583,47.207,39.604,7.603
107,rxn_6612,28.0,21.747,6.252
109,rxn_7236,30.44,35.642,-5.202
114,rxn_7911,32.414,69.103,-36.688
