,Name,rsx-0dh-DFT-forward,rsx-0dh-DFT-reverse,rsx-0dh-DFT-reaction
0,rxn_33,14.299,70.972,-56.672
1,rxn_216,13.223,59.133,-45.909
2,rxn_365,29.123,81.304,-52.181
5,rxn_632,14.76,69.903,-55.143
9,rxn_721,17.593,75.596,-58.003
10,rxn_769,23.428,41.187,-17.759
14,rxn_853,20.895,41.497,-20.602
16,rxn_971,22.455,51.907,-29.452
17,rxn_1017,26.183,44.667,-18.484
18,rxn_1024,14.799,41.277,-26.477
20,rxn_1093,22.056,44.654,-22.598
21,rxn_1181,17.758,42.912,-25.154
24,rxn_1248,22.651,42.761,-20.111
25,rxn_1285,22.457,49.715,-27.258
28,rxn_1394,16.421,40.924,-24.503
29,rxn_1424,20.522,44.525,-24.004
30,rxn_1441,27.322,47.092,-19.77
31,rxn_1463,10.34,65.371,-55.031
32,rxn_1466,6.837,64.927,-58.09
33,rxn_1479,20.804,71.991,-51.187
37,rxn_1536,12.494,62.348,-49.854
39,rxn_1708,16.009,65.093,-49.084
41,rxn_1779,13.995,62.795,-48.8
42,rxn_1814,10.118,67.324,-57.206
45,rxn_2012,12.8,65.673,-52.873
46,rxn_2211,21.097,73.971,-52.875
48,rxn_2270,9.182,66.173,-56.991
49,rxn_2310,18.221,69.36,-51.139
50,rxn_2334,12.748,69.53,-56.782
52,rxn_2482,11.604,67.542,-55.938
53,rxn_2517,19.684,68.151,-48.467
54,rxn_2530,13.639,69.171,-55.532
56,rxn_2645,11.094,66.739,-55.645
58,rxn_2890,12.559,67.889,-55.33
60,rxn_2972,24.842,61.409,-36.567
63,rxn_3225,12.34,60.98,-48.64
65,rxn_3483,18.612,56.068,-37.456
66,rxn_3536,17.698,58.049,-40.351
70,rxn_4392,6.815,50.127,-43.312
71,rxn_4581,23.874,61.73,-37.856
73,rxn_5129,-1.386,53.718,-55.105
74,rxn_5245,45.917,46.768,-0.851
75,rxn_5345,45.711,48.95,-3.239
76,rxn_5374,44.011,48.362,-4.351
79,rxn_5534,43.191,42.614,0.577
84,rxn_5751,37.792,52.154,-14.362
89,rxn_5956,50.963,71.038,-20.075
93,rxn_6105,48.003,58.687,-10.684
96,rxn_6178,51.37,71.498,-20.129
97,rxn_6180,36.667,47.96,-11.294
101,rxn_6322,64.941,72.235,-7.294
104,rxn_6410,25.606,35.51,-9.905
106,rxn_6583,47.719,52.785,-5.066
107,rxn_6612,26.058,29.664,-3.606
109,rxn_7236,27.459,45.731,-18.273
114,rxn_7911,32.266,88.235,-55.969
