,Name,bhandhlyp-DFT-forward,bhandhlyp-DFT-reverse,bhandhlyp-DFT-reaction
0,rxn_33,31.585,57.864,-26.28
1,rxn_216,31.698,52.942,-21.244
2,rxn_365,44.525,65.485,-20.96
5,rxn_632,33.201,59.486,-26.285
9,rxn_721,32.012,61.331,-29.319
10,rxn_769,40.133,32.096,8.037
14,rxn_853,37.884,33.333,4.551
16,rxn_971,36.231,44.241,-8.01
17,rxn_1017,44.618,36.561,8.056
18,rxn_1024,28.125,32.294,-4.17
20,rxn_1093,41.127,35.198,5.929
21,rxn_1181,31.359,34.375,-3.016
24,rxn_1248,41.369,34.071,7.299
25,rxn_1285,35.387,41.6,-6.212
28,rxn_1394,30.383,32.155,-1.772
29,rxn_1424,39.56,35.236,4.324
30,rxn_1441,43.502,38.358,5.144
31,rxn_1463,29.273,57.205,-27.932
32,rxn_1466,25.703,55.594,-29.89
33,rxn_1479,38.599,57.316,-18.717
37,rxn_1536,27.245,48.327,-21.082
39,rxn_1708,30.618,50.507,-19.89
41,rxn_1779,28.881,48.566,-19.685
42,rxn_1814,22.272,53.475,-31.202
45,rxn_2012,27.343,53.395,-26.052
46,rxn_2211,33.75,61.066,-27.315
48,rxn_2270,27.982,54.59,-26.609
49,rxn_2310,32.261,53.131,-20.87
50,rxn_2334,29.582,56.927,-27.346
52,rxn_2482,28.583,55.247,-26.664
53,rxn_2517,36.087,53.885,-17.798
54,rxn_2530,30.856,56.184,-25.328
56,rxn_2645,26.569,53.97,-27.401
58,rxn_2890,27.165,54.545,-27.38
60,rxn_2972,40.174,51.877,-11.704
63,rxn_3225,26.543,53.256,-26.713
65,rxn_3483,35.407,48.623,-13.216
66,rxn_3536,31.563,48.485,-16.921
70,rxn_4392,14.727,39.678,-24.952
71,rxn_4581,39.646,45.656,-6.01
73,rxn_5129,13.482,40.321,-26.839
74,rxn_5245,42.145,43.321,-1.176
75,rxn_5345,42.93,46.575,-3.644
76,rxn_5374,40.908,46.401,-5.493
79,rxn_5534,47.601,46.58,1.021
84,rxn_5751,35.415,46.365,-10.95
89,rxn_5956,45.148,63.916,-18.767
93,rxn_6105,44.959,50.594,-5.636
96,rxn_6178,45.669,63.184,-17.514
97,rxn_6180,34.619,40.713,-6.094
101,rxn_6322,70.848,63.214,7.634
104,rxn_6410,35.781,29.892,5.889
106,rxn_6583,57.235,43.922,13.313
107,rxn_6612,34.52,22.447,12.073
109,rxn_7236,36.613,38.356,-1.743
114,rxn_7911,43.797,77.349,-33.552
