,Name,b3lyp-DFT-forward,b3lyp-DFT-reverse,b3lyp-DFT-reaction
0,rxn_33,29.718,44.741,-15.022
1,rxn_216,29.915,40.166,-10.251
2,rxn_365,40.159,52.071,-11.911
5,rxn_632,31.174,46.762,-15.588
9,rxn_721,28.497,48.609,-20.111
10,rxn_769,38.763,21.262,17.501
14,rxn_853,36.819,23.553,13.266
16,rxn_971,34.626,33.086,1.54
17,rxn_1017,44.009,26.333,17.675
18,rxn_1024,26.301,22.627,3.675
20,rxn_1093,40.891,24.854,16.038
21,rxn_1181,29.136,24.704,4.432
24,rxn_1248,40.853,23.921,16.931
25,rxn_1285,33.191,31.237,1.954
28,rxn_1394,29.12,21.404,7.715
29,rxn_1424,39.244,24.924,14.319
30,rxn_1441,42.184,27.812,14.373
31,rxn_1463,25.615,49.724,-24.109
32,rxn_1466,21.771,48.852,-27.081
33,rxn_1479,35.231,50.512,-15.281
37,rxn_1536,23.787,36.882,-13.096
39,rxn_1708,26.828,38.555,-11.727
41,rxn_1779,25.426,36.9,-11.474
42,rxn_1814,19.231,42.948,-23.717
45,rxn_2012,23.797,41.776,-17.979
46,rxn_2211,29.786,48.984,-19.198
48,rxn_2270,27.157,45.268,-18.111
49,rxn_2310,29.157,43.005,-13.848
50,rxn_2334,27.427,46.637,-19.21
52,rxn_2482,26.909,45.721,-18.812
53,rxn_2517,33.468,44.418,-10.95
54,rxn_2530,28.882,46.161,-17.278
56,rxn_2645,24.57,43.882,-19.313
58,rxn_2890,24.443,44.158,-19.715
60,rxn_2972,38.34,38.171,0.169
63,rxn_3225,25.182,39.631,-14.449
65,rxn_3483,34.668,35.453,-0.786
66,rxn_3536,30.994,33.929,-2.935
70,rxn_4392,11.871,23.15,-11.279
71,rxn_4581,37.535,32.98,4.555
73,rxn_5129,12.727,27.284,-14.558
74,rxn_5245,32.186,35.228,-3.042
75,rxn_5345,33.363,38.58,-5.217
76,rxn_5374,31.62,37.882,-6.262
79,rxn_5534,38.828,39.639,-0.811
84,rxn_5751,26.867,36.45,-9.583
89,rxn_5956,35.093,52.54,-17.447
93,rxn_6105,35.845,40.084,-4.239
96,rxn_6178,34.966,50.924,-15.958
97,rxn_6180,26.528,30.683,-4.155
101,rxn_6322,62.052,51.817,10.235
104,rxn_6410,33.186,17.371,15.815
106,rxn_6583,52.764,30.734,22.03
107,rxn_6612,31.074,13.54,17.535
109,rxn_7236,33.015,26.526,6.49
114,rxn_7911,38.318,65.756,-27.439
