,Name,wb2-plyp-DFT-forward,wb2-plyp-DFT-reverse,wb2-plyp-DFT-reaction
0,rxn_33,12.349,59.194,-46.846
1,rxn_216,12.852,49.791,-36.939
2,rxn_365,28.063,69.081,-41.018
5,rxn_632,13.082,59.303,-46.222
9,rxn_721,17.416,63.869,-46.453
10,rxn_769,24.469,33.552,-9.083
14,rxn_853,23.146,33.762,-10.616
16,rxn_971,23.796,44.048,-20.252
17,rxn_1017,26.845,37.008,-10.163
18,rxn_1024,17.269,33.358,-16.089
20,rxn_1093,23.345,36.511,-13.165
21,rxn_1181,20.272,35.099,-14.827
24,rxn_1248,24.114,34.703,-10.589
25,rxn_1285,24.353,41.793,-17.441
28,rxn_1394,18.508,33.244,-14.736
29,rxn_1424,22.545,36.448,-13.903
30,rxn_1441,27.91,39.314,-11.404
31,rxn_1463,9.91,57.464,-47.554
32,rxn_1466,6.918,56.588,-49.67
33,rxn_1479,18.362,62.367,-44.005
37,rxn_1536,13.018,51.098,-38.08
39,rxn_1708,16.005,53.528,-37.524
41,rxn_1779,14.41,51.444,-37.033
42,rxn_1814,11.769,56.56,-44.791
45,rxn_2012,13.409,54.967,-41.558
46,rxn_2211,21.748,63.376,-41.628
48,rxn_2270,8.6,56.284,-47.684
49,rxn_2310,16.861,58.966,-42.106
50,rxn_2334,12.336,59.043,-46.706
52,rxn_2482,11.454,57.617,-46.163
53,rxn_2517,18.407,57.795,-39.388
54,rxn_2530,13.053,59.13,-46.077
56,rxn_2645,11.198,56.571,-45.373
58,rxn_2890,11.992,57.604,-45.612
60,rxn_2972,23.214,51.026,-27.812
63,rxn_3225,10.984,51.091,-40.107
65,rxn_3483,18.226,46.708,-28.482
66,rxn_3536,17.345,47.952,-30.606
70,rxn_4392,6.599,39.465,-32.866
71,rxn_4581,22.283,51.477,-29.194
73,rxn_5129,-2.13,43.758,-45.888
74,rxn_5245,39.171,40.261,-1.091
75,rxn_5345,39.843,43.335,-3.492
76,rxn_5374,38.367,42.099,-3.732
79,rxn_5534,41.684,39.845,1.839
84,rxn_5751,31.802,45.027,-13.224
89,rxn_5956,44.238,63.801,-19.563
93,rxn_6105,41.173,51.081,-9.908
96,rxn_6178,43.69,61.999,-18.308
97,rxn_6180,30.234,40.882,-10.648
101,rxn_6322,65.422,62.577,2.845
104,rxn_6410,27.425,26.777,0.648
106,rxn_6583,48.563,42.515,6.048
107,rxn_6612,27.913,23.675,4.238
109,rxn_7236,28.615,36.9,-8.285
114,rxn_7911,33.615,77.436,-43.821
