,Name,pbe-qidh-DFT-forward,pbe-qidh-DFT-reverse,pbe-qidh-DFT-reaction
0,rxn_33,10.502,56.263,-45.761
1,rxn_216,10.133,46.109,-35.977
2,rxn_365,24.995,65.841,-40.846
5,rxn_632,10.801,55.921,-45.12
9,rxn_721,14.346,60.981,-46.635
10,rxn_769,21.804,30.632,-8.828
14,rxn_853,20.364,31.626,-11.262
16,rxn_971,22.005,42.353,-20.348
17,rxn_1017,25.305,34.964,-9.659
18,rxn_1024,14.337,31.774,-17.437
20,rxn_1093,21.556,34.378,-12.822
21,rxn_1181,17.283,33.547,-16.264
24,rxn_1248,22.109,32.777,-10.669
25,rxn_1285,21.972,40.409,-18.437
28,rxn_1394,16.023,30.952,-14.929
29,rxn_1424,20.548,34.357,-13.809
30,rxn_1441,26.15,37.156,-11.006
31,rxn_1463,8.161,56.738,-48.576
32,rxn_1466,4.612,56.253,-51.641
33,rxn_1479,17.075,62.488,-45.413
37,rxn_1536,9.074,48.771,-39.697
39,rxn_1708,11.989,51.041,-39.052
41,rxn_1779,10.341,48.917,-38.576
42,rxn_1814,8.365,55.259,-46.894
45,rxn_2012,10.16,53.058,-42.897
46,rxn_2211,18.609,61.438,-42.828
48,rxn_2270,6.957,54.907,-47.95
49,rxn_2310,14.399,57.515,-43.116
50,rxn_2334,10.087,57.681,-47.594
52,rxn_2482,9.308,56.306,-46.998
53,rxn_2517,16.048,56.503,-40.455
54,rxn_2530,10.817,57.559,-46.743
56,rxn_2645,8.808,55.124,-46.316
58,rxn_2890,9.216,55.95,-46.734
60,rxn_2972,23.534,49.046,-25.511
63,rxn_3225,11.398,48.767,-37.369
65,rxn_3483,18.167,44.251,-26.084
66,rxn_3536,17.688,45.234,-27.546
70,rxn_4392,7.804,36.588,-28.784
71,rxn_4581,21.048,49.053,-28.005
73,rxn_5129,-3.35,40.801,-44.151
74,rxn_5245,35.415,36.622,-1.208
75,rxn_5345,36.047,39.862,-3.815
76,rxn_5374,34.918,38.425,-3.508
79,rxn_5534,36.66,35.431,1.229
84,rxn_5751,28.177,42.683,-14.507
89,rxn_5956,40.942,61.364,-20.421
93,rxn_6105,38.083,48.943,-10.86
96,rxn_6178,39.906,59.632,-19.726
97,rxn_6180,27.264,38.743,-11.48
101,rxn_6322,58.693,59.499,-0.806
104,rxn_6410,25.078,24.234,0.844
106,rxn_6583,45.042,40.097,4.945
107,rxn_6612,25.283,22.033,3.25
109,rxn_7236,26.758,35.028,-8.27
114,rxn_7911,29.421,76.102,-46.681
