,Type,rxn_smiles
32,Diels-Alder,C=CC(C#N)=CF.O=C1C=CC(=O)c2c(O)cccc21>>N#CC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1F
33,Diels-Alder,C=CC(=CF)C(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)C1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1F
34,Diels-Alder,C=CC(=CF)OC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)OC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1F
35,Diels-Alder,C=CC(=CF)NC.O=C1C=CC(=O)c2c(O)cccc21>>CNC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1F
36,Diels-Alder,C=CC(=CF)SC.O=C1C=CC(=O)c2c(O)cccc21>>CSC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1F
37,Diels-Alder,C=C(C)C=CF.O=C1C=CC(=O)c2c(O)cccc21>>CC1=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
38,Diels-Alder,C=C(F)C=CF.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2c(O)cccc2C(=O)[C@H]2CC(F)=C[C@@H](F)[C@@H]12
39,Diels-Alder,C=C(C=CF)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC1=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
40,Diels-Alder,C=C(O)C=CF.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2c(O)cccc2C(=O)[C@H]2CC(O)=C[C@@H](F)[C@@H]12
41,Diels-Alder,C=C(C#N)C=CF.O=C1C=CC(=O)c2c(O)cccc21>>N#CC1=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
42,Diels-Alder,C=C(C=CF)C(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)C1=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
