Type;rxn_smiles
Diels-Alder;O=C1C=CC(c2c1cccc2O)=O.[Os]/C=C([Ir])/C([Pt])=C/[Au]>>[Os][C@@H]3C([Ir])=C([C@@H]([C@@H]4C(c5c(C([C@@H]43)=O)c(O)ccc5)=O)[Au])[Pt]
Diels-Alder;CC(/C=C\C(C)CC(C)C/C=C([Os])/C([Ir])=C/C(C)=C/C)=O>>CC([C@@]1([H])[C@]2([H])C(C)CC(C)C[C@@]2([H])C([Os])=C([Ir])[C@@]1([H])/C(C)=C/C)=O
Diels-Alder;[Os]c1nnc([Os])nn1.C2=C/CCCCCC/2>>[Os][C@]34N=N[C@](N=N3)([C@H]5CCCCCC[C@@H]54)[Os]
Diels-Alder;[Os]c1nnc([Os])nn1.c2(C#Cc3c4cccc3)c(CC4)cccc2>>[Os][C@]56N=N[C@](N=N5)(C7=C6c8c(CCc9c7cccc9)cccc8)[Os]
Diels-Alder;[Ir]c1cocc1.[Os]/C=C([Os])/[Ir]>>[Os][C@@H]2[C@@H]3C=C([Ir])[C@H]([C@@]2([Os])[Ir])O3
Diels-Alder;CC(C)(C1=CC(C(C=C1)=O)=O)C.C=C[Os]>>CC(C)(C2=C[C@@H]3C[C@@H]([C@H]2C(C3=O)=O)[Os])C
[4+6]cycloaddition;C/C(C)=C1C=CC([Ir])=C\1.[Os]/C([Ir])=C2C=CC=CC=C\2>>C/C(C)=C3[C@@H]4C=C([Ir])[C@H]\3[C@H]5C=CC=C[C@@H]4/C5=C([Ir])/[Os]
[6+4]cycloaddition;[Ir]/C([Os])=C1C=CC=CC=C/1.C/C(C)=C2C=CC([Ir])=C\2>>CC3(C4=CC=C[C@H]4[C@@H]5C([Ir])=C[C@H]3C=C/C5=C([Ir])\[Os])C
[8+2]cycloaddition;C/C(C)=C1C=CC=C\1[Ir].[Ir]/C([Os])=C2C=CC=CC=C/2>>C/C(C)=C3C([Ir])=C[C@@H]4[C@H]/3[C@@H]5C=CC=CC=C5C4([Os])[Ir]
