,Name,m06l-DFT-forward,m06l-DFT-reverse,m06l-DFT-reaction
1,rxn_365,27.918,54.086,-26.169
10,rxn_853,29.05,23.416,5.634
14,rxn_1093,25.878,24.944,0.934
29,rxn_1814,13.442,43.845,-30.403
32,rxn_2012,14.036,40.095,-26.059
55,rxn_5534,35.063,36.101,-1.037
80,rxn_7236,29.313,27.788,1.526
