,Name,b97m-v-DFT-forward,b97m-v-DFT-reverse,b97m-v-DFT-reaction
1,rxn_365,25.002,55.82,-30.818
10,rxn_853,24.417,26.234,-1.817
14,rxn_1093,22.108,28.457,-6.349
29,rxn_1814,11.138,46.016,-34.879
32,rxn_2012,11.535,43.488,-31.953
55,rxn_5534,33.729,36.207,-2.478
80,rxn_7236,28.575,30.437,-1.862
