,Name,rsx-qidh-DFT-forward,rsx-qidh-DFT-reverse,rsx-qidh-DFT-reaction
0,rxn_33,8.767,64.231,-55.464
1,rxn_53,16.885,67.951,-51.066
2,rxn_83,5.67,55.574,-49.904
3,rxn_216,8.238,52.6,-44.362
4,rxn_310,8.266,64.288,-56.022
5,rxn_365,24.292,74.601,-50.309
8,rxn_632,8.986,63.293,-54.307
12,rxn_721,13.487,69.032,-55.545
13,rxn_745,16.443,34.67,-18.227
14,rxn_751,2.825,29.143,-26.317
15,rxn_769,19.807,36.649,-16.842
19,rxn_839,16.07,38.347,-22.278
20,rxn_853,18.005,36.981,-18.976
22,rxn_942,22.929,53.768,-30.84
23,rxn_971,20.151,47.689,-27.538
24,rxn_1000,28.468,41.84,-13.372
25,rxn_1011,27.476,40.071,-12.595
26,rxn_1017,22.439,40.331,-17.892
27,rxn_1024,12.817,37.035,-24.218
29,rxn_1093,18.458,40.168,-21.71
30,rxn_1181,15.801,38.698,-22.897
32,rxn_1225,10.943,34.576,-23.633
34,rxn_1248,19.171,38.261,-19.089
35,rxn_1285,20.503,45.576,-25.073
38,rxn_1394,14.215,36.591,-22.377
39,rxn_1424,17.402,40.079,-22.678
40,rxn_1441,23.946,42.763,-18.817
41,rxn_1463,6.065,61.131,-55.066
42,rxn_1466,2.686,60.655,-57.969
43,rxn_1469,5.506,64.247,-58.741
44,rxn_1479,15.389,68.018,-52.629
45,rxn_1480,7.5,59.802,-52.302
47,rxn_1495,5.68,65.132,-59.452
49,rxn_1536,8.336,56.242,-47.906
50,rxn_1606,11.434,60.058,-48.624
51,rxn_1708,11.506,58.841,-47.334
53,rxn_1779,9.68,56.579,-46.899
54,rxn_1801,6.023,63.399,-57.376
55,rxn_1814,7.609,62.039,-54.429
56,rxn_1886,15.274,63.529,-48.255
58,rxn_1919,10.883,55.026,-44.144
60,rxn_2012,9.203,59.97,-50.767
61,rxn_2211,18.028,68.505,-50.477
63,rxn_2260,5.607,65.47,-59.863
64,rxn_2270,4.342,61.015,-56.673
65,rxn_2310,13.675,64.957,-51.282
66,rxn_2326,16.045,64.133,-48.087
67,rxn_2334,8.239,64.202,-55.963
68,rxn_2468,16.331,62.135,-45.804
69,rxn_2473,3.476,63.131,-59.655
71,rxn_2482,7.27,62.525,-55.255
72,rxn_2517,14.615,63.267,-48.652
73,rxn_2530,8.899,64.101,-55.202
75,rxn_2645,7.13,61.594,-54.464
76,rxn_2672,5.95,63.653,-57.703
77,rxn_2676,0.632,60.407,-59.775
79,rxn_2720,2.242,61.394,-59.152
80,rxn_2759,6.369,63.743,-57.374
81,rxn_2760,3.75,62.47,-58.72
82,rxn_2890,8.13,62.713,-54.583
84,rxn_2972,21.218,55.995,-34.777
86,rxn_3030,7.448,54.412,-46.964
88,rxn_3198,1.569,51.625,-50.056
89,rxn_3225,9.142,55.393,-46.251
91,rxn_3483,15.309,50.716,-35.408
92,rxn_3536,15.127,52.545,-37.418
93,rxn_3759,-15.451,31.787,-47.237
95,rxn_3781,-9.843,36.97,-46.813
97,rxn_4123,-1.51,44.919,-46.429
99,rxn_4392,6.327,44.666,-38.339
100,rxn_4581,19.525,57.399,-37.874
101,rxn_4652,-9.392,48.34,-57.731
103,rxn_4937,1.179,41.724,-40.545
104,rxn_5047,-1.354,51.174,-52.528
105,rxn_5129,-5.184,48.736,-53.92
106,rxn_5191,46.983,42.283,4.7
107,rxn_5245,40.457,41.268,-0.812
108,rxn_5345,40.661,44.0,-3.339
109,rxn_5374,39.359,42.834,-3.475
111,rxn_5432,37.601,48.852,-11.251
112,rxn_5506,38.335,42.496,-4.161
113,rxn_5534,39.551,38.179,1.372
116,rxn_5581,37.126,53.609,-16.484
117,rxn_5582,31.769,42.917,-11.148
118,rxn_5590,34.825,44.875,-10.05
119,rxn_5616,34.829,46.579,-11.75
121,rxn_5653,35.9,49.211,-13.31
123,rxn_5748,32.018,57.366,-25.349
124,rxn_5751,32.661,47.6,-14.939
125,rxn_5756,37.24,55.46,-18.22
127,rxn_5854,35.837,49.853,-14.016
131,rxn_5956,46.407,66.922,-20.515
135,rxn_5998,33.533,51.263,-17.73
136,rxn_6105,42.786,54.476,-11.69
139,rxn_6178,45.897,66.038,-20.142
140,rxn_6180,31.465,43.862,-12.397
143,rxn_6261,34.255,49.245,-14.989
145,rxn_6317,55.051,62.531,-7.479
146,rxn_6322,61.783,66.099,-4.317
149,rxn_6410,24.185,30.093,-5.908
151,rxn_6583,45.293,46.971,-1.678
152,rxn_6612,25.031,26.644,-1.613
154,rxn_7236,26.101,40.875,-14.774
157,rxn_7614,24.344,37.895,-13.551
160,rxn_7911,29.475,82.527,-53.053
161,rxn_7955,27.69,82.943,-55.253
168,rxn_8339,19.806,82.544,-62.737
169,rxn_8396,23.355,81.767,-58.412
