,Name,wb97m-v-DFT-forward,wb97m-v-DFT-reverse,wb97m-v-DFT-reaction
0,rxn_33,11.027,56.985,-45.958
1,rxn_53,19.41,60.659,-41.248
2,rxn_83,9.309,50.102,-40.792
3,rxn_216,11.673,46.547,-34.875
4,rxn_310,11.734,56.997,-45.263
5,rxn_365,27.022,65.834,-38.813
8,rxn_632,11.736,56.379,-44.642
12,rxn_721,17.062,60.627,-43.565
13,rxn_745,21.542,29.859,-8.317
14,rxn_751,6.231,22.753,-16.523
15,rxn_769,24.382,32.347,-7.965
19,rxn_839,20.691,32.843,-12.153
20,rxn_853,22.815,32.356,-9.54
22,rxn_942,25.784,46.495,-20.711
23,rxn_971,24.197,41.418,-17.222
24,rxn_1000,31.189,36.788,-5.599
25,rxn_1011,30.954,35.089,-4.135
26,rxn_1017,25.536,35.535,-9.999
27,rxn_1024,18.062,31.407,-13.346
29,rxn_1093,22.387,35.024,-12.637
30,rxn_1181,21.022,32.908,-11.886
32,rxn_1225,16.143,29.301,-13.157
34,rxn_1248,23.168,33.298,-10.13
35,rxn_1285,24.92,39.337,-14.417
38,rxn_1394,19.218,31.292,-12.074
39,rxn_1424,22.112,34.907,-12.795
40,rxn_1441,27.099,37.576,-10.477
41,rxn_1463,9.858,57.557,-47.699
42,rxn_1466,6.877,56.663,-49.786
43,rxn_1469,7.567,58.681,-51.114
44,rxn_1479,16.214,62.424,-46.21
45,rxn_1480,9.021,55.199,-46.178
47,rxn_1495,7.054,59.37,-52.316
49,rxn_1536,13.26,48.827,-35.567
50,rxn_1606,15.533,51.982,-36.449
51,rxn_1708,15.886,51.415,-35.529
53,rxn_1779,14.637,49.289,-34.652
54,rxn_1801,11.053,54.707,-43.654
55,rxn_1814,12.611,53.347,-40.736
56,rxn_1886,19.174,55.677,-36.503
58,rxn_1919,15.823,47.572,-31.749
60,rxn_2012,14.087,52.371,-38.284
61,rxn_2211,21.998,60.179,-38.181
63,rxn_2260,8.93,58.175,-49.246
64,rxn_2270,8.258,54.16,-45.902
65,rxn_2310,16.838,57.091,-40.253
66,rxn_2326,20.055,56.992,-36.936
67,rxn_2334,12.333,56.653,-44.319
68,rxn_2468,20.372,55.003,-34.631
69,rxn_2473,7.268,55.915,-48.647
71,rxn_2482,11.613,55.38,-43.767
72,rxn_2517,17.805,55.708,-37.902
73,rxn_2530,12.695,57.104,-44.408
75,rxn_2645,11.831,54.327,-42.496
76,rxn_2672,9.939,56.313,-46.374
77,rxn_2676,6.12,54.036,-47.916
79,rxn_2720,5.564,54.434,-48.869
80,rxn_2759,9.173,56.648,-47.475
81,rxn_2760,7.246,55.315,-48.069
82,rxn_2890,12.526,55.393,-42.867
84,rxn_2972,22.249,49.331,-27.083
86,rxn_3030,9.872,48.914,-39.042
88,rxn_3198,3.659,45.067,-41.408
89,rxn_3225,10.855,48.961,-38.105
91,rxn_3483,17.048,45.127,-28.079
92,rxn_3536,17.729,47.012,-29.283
93,rxn_3759,-10.897,26.478,-37.376
95,rxn_3781,-5.781,30.455,-36.236
97,rxn_4123,1.941,37.936,-35.995
99,rxn_4392,9.185,37.901,-28.715
100,rxn_4581,19.172,48.965,-29.792
101,rxn_4652,-6.504,41.649,-48.152
103,rxn_4937,3.957,35.874,-31.916
104,rxn_5047,1.045,44.221,-43.176
105,rxn_5129,-2.907,42.247,-45.154
106,rxn_5191,45.319,43.3,2.019
107,rxn_5245,37.055,40.295,-3.24
108,rxn_5345,38.516,44.324,-5.808
109,rxn_5374,36.553,42.305,-5.752
111,rxn_5432,35.088,49.377,-14.29
112,rxn_5506,35.974,41.608,-5.635
113,rxn_5534,41.016,40.901,0.115
116,rxn_5581,33.015,49.197,-16.182
117,rxn_5582,27.553,38.472,-10.919
118,rxn_5590,31.235,41.106,-9.871
119,rxn_5616,29.777,42.155,-12.377
121,rxn_5653,32.396,45.008,-12.612
123,rxn_5748,28.083,52.368,-24.285
124,rxn_5751,29.78,44.246,-14.466
125,rxn_5756,32.805,50.97,-18.165
127,rxn_5854,31.457,45.714,-14.257
131,rxn_5956,41.651,62.022,-20.371
135,rxn_5998,30.373,46.842,-16.47
136,rxn_6105,37.93,49.959,-12.029
139,rxn_6178,41.197,60.447,-19.25
140,rxn_6180,27.764,40.322,-12.558
143,rxn_6261,31.08,45.774,-14.694
145,rxn_6317,59.067,57.623,1.444
146,rxn_6322,65.637,60.642,4.995
149,rxn_6410,27.721,26.779,0.942
151,rxn_6583,47.491,41.28,6.211
152,rxn_6612,28.155,21.751,6.404
154,rxn_7236,28.516,36.043,-7.527
157,rxn_7614,27.546,33.891,-6.345
160,rxn_7911,33.215,73.154,-39.938
161,rxn_7955,30.43,73.065,-42.635
168,rxn_8339,23.367,72.157,-48.791
169,rxn_8396,28.596,72.131,-43.535
