,Name,pbe0-dh-DFT-forward,pbe0-dh-DFT-reverse,pbe0-dh-DFT-reaction
0,rxn_33,16.311,56.893,-40.582
1,rxn_53,23.964,60.533,-36.569
2,rxn_83,12.766,48.786,-36.02
3,rxn_216,15.578,47.463,-31.885
4,rxn_310,14.867,56.457,-41.59
5,rxn_365,29.335,66.199,-36.865
8,rxn_632,16.893,56.881,-39.988
12,rxn_721,18.239,61.559,-43.32
13,rxn_745,22.189,29.495,-7.306
14,rxn_751,7.914,22.6,-14.686
15,rxn_769,25.977,30.578,-4.6
19,rxn_839,20.67,33.237,-12.567
20,rxn_853,24.23,32.135,-7.905
22,rxn_942,26.589,48.275,-21.686
23,rxn_971,24.811,42.49,-17.679
24,rxn_1000,35.147,36.376,-1.229
25,rxn_1011,35.884,35.031,0.854
26,rxn_1017,30.113,35.191,-5.078
27,rxn_1024,16.556,31.934,-15.378
29,rxn_1093,26.319,34.553,-8.234
30,rxn_1181,19.482,33.772,-14.291
32,rxn_1225,16.376,29.795,-13.419
34,rxn_1248,26.73,33.129,-6.4
35,rxn_1285,24.178,40.584,-16.406
38,rxn_1394,18.701,30.916,-12.215
39,rxn_1424,24.891,34.507,-9.616
40,rxn_1441,30.123,37.185,-7.061
41,rxn_1463,13.111,57.795,-44.684
42,rxn_1466,9.334,57.383,-48.049
43,rxn_1469,12.252,60.028,-47.776
44,rxn_1479,22.976,62.66,-39.684
45,rxn_1480,16.083,56.008,-39.925
47,rxn_1495,13.223,60.945,-47.722
49,rxn_1536,12.977,49.258,-36.281
50,rxn_1606,16.194,53.549,-37.356
51,rxn_1708,16.085,51.45,-35.366
53,rxn_1779,14.413,49.416,-35.003
54,rxn_1801,9.169,57.054,-47.885
55,rxn_1814,10.545,55.399,-44.854
56,rxn_1886,20.444,56.58,-36.136
58,rxn_1919,14.26,46.798,-32.539
60,rxn_2012,13.476,53.403,-39.927
61,rxn_2211,21.219,61.495,-40.276
63,rxn_2260,13.037,59.048,-46.011
64,rxn_2270,12.774,55.648,-42.873
65,rxn_2310,18.554,56.679,-38.125
66,rxn_2326,23.244,58.073,-34.829
67,rxn_2334,15.142,58.328,-43.186
68,rxn_2468,23.154,55.908,-32.754
69,rxn_2473,9.375,57.737,-48.362
71,rxn_2482,14.31,56.837,-42.526
72,rxn_2517,21.22,56.62,-35.4
73,rxn_2530,16.182,57.989,-41.806
75,rxn_2645,13.127,55.517,-42.39
76,rxn_2672,13.355,58.106,-44.751
77,rxn_2676,6.193,54.154,-47.961
79,rxn_2720,10.003,56.344,-46.341
80,rxn_2759,15.188,58.263,-43.075
81,rxn_2760,11.066,57.332,-46.267
82,rxn_2890,13.608,56.166,-42.558
84,rxn_2972,28.034,49.486,-21.451
86,rxn_3030,13.834,47.833,-34.0
88,rxn_3198,7.411,45.4,-37.989
89,rxn_3225,15.44,49.583,-34.143
91,rxn_3483,22.859,44.859,-22.0
92,rxn_3536,21.401,45.45,-24.05
93,rxn_3759,-9.728,27.871,-37.599
95,rxn_3781,-4.846,32.389,-37.235
97,rxn_4123,3.099,40.244,-37.145
99,rxn_4392,8.145,36.0,-27.855
100,rxn_4581,25.592,47.332,-21.739
101,rxn_4652,-3.671,40.124,-43.795
103,rxn_4937,8.449,33.511,-25.062
104,rxn_5047,3.46,42.894,-39.434
105,rxn_5129,1.082,40.064,-38.982
106,rxn_5191,44.75,39.613,5.137
107,rxn_5245,36.681,38.797,-2.116
108,rxn_5345,37.287,41.743,-4.455
109,rxn_5374,35.757,40.721,-4.964
111,rxn_5432,34.361,47.509,-13.148
112,rxn_5506,35.163,39.918,-4.756
113,rxn_5534,37.624,37.782,-0.158
116,rxn_5581,34.071,49.143,-15.072
117,rxn_5582,27.122,36.257,-9.135
118,rxn_5590,32.203,40.237,-8.034
119,rxn_5616,31.29,40.184,-8.894
121,rxn_5653,32.163,43.652,-11.489
123,rxn_5748,28.093,52.064,-23.971
124,rxn_5751,29.909,43.185,-13.276
125,rxn_5756,33.738,50.361,-16.623
127,rxn_5854,32.308,44.595,-12.286
131,rxn_5956,41.282,60.937,-19.655
135,rxn_5998,29.95,47.178,-17.228
136,rxn_6105,39.613,48.78,-9.167
139,rxn_6178,40.895,59.957,-19.062
140,rxn_6180,29.169,38.664,-9.496
143,rxn_6261,31.458,44.648,-13.189
145,rxn_6317,52.339,56.513,-4.174
146,rxn_6322,59.505,60.688,-1.183
149,rxn_6410,26.923,25.379,1.544
151,rxn_6583,47.041,40.914,6.127
152,rxn_6612,26.082,21.566,4.516
154,rxn_7236,28.22,35.715,-7.494
157,rxn_7614,27.212,32.919,-5.707
160,rxn_7911,31.446,76.893,-45.448
161,rxn_7955,28.813,76.184,-47.371
168,rxn_8339,20.581,75.459,-54.878
169,rxn_8396,25.138,75.432,-50.294
