,Name,m062x-DFT-forward,m062x-DFT-reverse,m062x-DFT-reaction
0,rxn_33,12.371,52.259,-39.888
1,rxn_53,20.496,55.597,-35.1
2,rxn_83,10.151,44.487,-34.336
3,rxn_216,13.174,43.496,-30.322
4,rxn_310,12.166,52.136,-39.97
5,rxn_365,27.259,62.236,-34.977
8,rxn_632,12.601,51.002,-38.4
12,rxn_721,17.175,56.565,-39.39
13,rxn_745,22.417,25.458,-3.041
14,rxn_751,6.789,18.508,-11.719
15,rxn_769,25.56,27.502,-1.942
19,rxn_839,21.227,28.912,-7.686
20,rxn_853,24.245,27.945,-3.7
22,rxn_942,26.478,42.973,-16.495
23,rxn_971,24.496,37.576,-13.08
24,rxn_1000,33.701,33.38,0.321
25,rxn_1011,32.716,31.544,1.173
26,rxn_1017,27.827,31.519,-3.692
27,rxn_1024,17.776,27.595,-9.819
29,rxn_1093,23.769,31.072,-7.303
30,rxn_1181,20.96,29.306,-8.346
32,rxn_1225,16.602,25.223,-8.621
34,rxn_1248,25.21,29.59,-4.38
35,rxn_1285,25.053,35.622,-10.569
38,rxn_1394,19.572,27.437,-7.866
39,rxn_1424,23.027,30.902,-7.875
40,rxn_1441,28.933,33.808,-4.875
41,rxn_1463,11.543,52.064,-40.52
42,rxn_1466,8.16,51.594,-43.434
43,rxn_1469,9.694,53.614,-43.92
44,rxn_1479,19.54,57.456,-37.916
45,rxn_1480,12.464,49.704,-37.241
47,rxn_1495,9.515,54.197,-44.683
49,rxn_1536,13.245,44.331,-31.086
50,rxn_1606,15.547,47.823,-32.276
51,rxn_1708,16.104,46.92,-30.816
53,rxn_1779,14.874,44.833,-29.959
54,rxn_1801,10.457,51.239,-40.783
55,rxn_1814,11.875,49.803,-37.929
56,rxn_1886,19.238,51.399,-32.161
58,rxn_1919,15.344,42.822,-27.478
60,rxn_2012,13.485,47.609,-34.124
61,rxn_2211,21.614,56.246,-34.632
63,rxn_2260,10.455,54.623,-44.168
64,rxn_2270,8.823,50.049,-41.225
65,rxn_2310,16.286,52.285,-36.0
66,rxn_2326,20.368,53.138,-32.77
67,rxn_2334,12.992,53.236,-40.244
68,rxn_2468,20.708,51.224,-30.517
69,rxn_2473,8.52,52.338,-43.818
71,rxn_2482,12.082,51.602,-39.52
72,rxn_2517,18.316,51.634,-33.318
73,rxn_2530,13.843,53.499,-39.656
75,rxn_2645,11.606,50.294,-38.688
76,rxn_2672,10.643,52.397,-41.755
77,rxn_2676,5.998,50.122,-44.124
79,rxn_2720,6.347,50.552,-44.205
80,rxn_2759,10.636,52.778,-42.142
81,rxn_2760,8.074,51.631,-43.557
82,rxn_2890,12.519,51.067,-38.548
84,rxn_2972,24.248,47.856,-23.607
86,rxn_3030,11.932,47.278,-35.346
88,rxn_3198,4.691,42.859,-38.168
89,rxn_3225,12.967,47.617,-34.65
91,rxn_3483,19.384,42.93,-23.546
92,rxn_3536,19.548,45.123,-25.575
93,rxn_3759,-9.663,27.354,-37.017
95,rxn_3781,-5.462,31.947,-37.409
97,rxn_4123,2.696,39.16,-36.463
99,rxn_4392,8.369,36.557,-28.188
100,rxn_4581,21.147,45.755,-24.608
101,rxn_4652,-3.515,38.636,-42.151
103,rxn_4937,7.996,33.549,-25.553
104,rxn_5047,3.717,42.384,-38.667
105,rxn_5129,0.274,39.665,-39.391
106,rxn_5191,43.981,41.035,2.946
107,rxn_5245,35.515,36.817,-1.302
108,rxn_5345,36.716,41.079,-4.363
109,rxn_5374,35.061,39.047,-3.986
111,rxn_5432,34.233,46.114,-11.881
112,rxn_5506,34.296,38.619,-4.323
113,rxn_5534,40.06,39.854,0.207
116,rxn_5581,34.118,47.523,-13.405
117,rxn_5582,28.742,36.658,-7.916
118,rxn_5590,32.642,39.682,-7.04
119,rxn_5616,31.4,40.766,-9.365
121,rxn_5653,33.311,43.279,-9.968
123,rxn_5748,28.822,50.865,-22.042
124,rxn_5751,30.536,42.332,-11.796
125,rxn_5756,33.824,49.578,-15.754
127,rxn_5854,32.862,44.891,-12.029
131,rxn_5956,42.371,60.416,-18.044
135,rxn_5998,31.388,45.791,-14.403
136,rxn_6105,38.828,48.807,-9.98
139,rxn_6178,42.215,59.339,-17.123
140,rxn_6180,28.919,38.768,-9.849
143,rxn_6261,31.518,43.796,-12.278
145,rxn_6317,56.302,57.723,-1.421
146,rxn_6322,63.582,61.733,1.849
149,rxn_6410,28.111,27.427,0.684
151,rxn_6583,47.207,39.604,7.603
152,rxn_6612,28.0,21.747,6.252
154,rxn_7236,30.44,35.642,-5.202
157,rxn_7614,29.898,33.125,-3.227
160,rxn_7911,32.414,69.103,-36.688
161,rxn_7955,30.596,69.141,-38.545
168,rxn_8339,23.395,68.483,-45.089
169,rxn_8396,27.336,69.154,-41.818
