,Name,m06l-DFT-forward,m06l-DFT-reverse,m06l-DFT-reaction
0,rxn_33,14.431,42.737,-28.306
1,rxn_53,23.101,47.292,-24.191
2,rxn_83,10.378,34.474,-24.096
3,rxn_216,13.518,32.137,-18.62
4,rxn_310,14.426,42.8,-28.374
5,rxn_365,27.918,54.086,-26.169
8,rxn_632,14.166,42.997,-28.831
12,rxn_721,18.699,48.095,-29.396
13,rxn_745,25.676,19.862,5.814
14,rxn_751,6.265,9.326,-3.061
15,rxn_769,24.82,17.511,7.31
19,rxn_839,24.316,23.579,0.737
20,rxn_853,29.05,23.416,5.634
22,rxn_942,28.018,38.046,-10.029
23,rxn_971,27.582,32.988,-5.405
24,rxn_1000,36.585,28.351,8.234
25,rxn_1011,35.152,27.248,7.904
26,rxn_1017,30.359,26.469,3.89
27,rxn_1024,19.609,23.033,-3.424
29,rxn_1093,25.878,24.944,0.934
30,rxn_1181,23.32,25.328,-2.008
32,rxn_1225,20.453,21.046,-0.593
34,rxn_1248,29.173,24.801,4.372
35,rxn_1285,27.524,32.05,-4.526
38,rxn_1394,22.334,21.689,0.645
39,rxn_1424,25.103,24.651,0.452
40,rxn_1441,30.223,27.808,2.416
41,rxn_1463,12.361,50.921,-38.56
42,rxn_1466,7.854,51.228,-43.374
43,rxn_1469,9.59,51.755,-42.165
44,rxn_1479,19.485,56.634,-37.149
45,rxn_1480,13.366,48.636,-35.27
47,rxn_1495,9.602,53.049,-43.447
49,rxn_1536,14.125,35.618,-21.493
50,rxn_1606,16.771,40.26,-23.489
51,rxn_1708,15.731,37.059,-21.328
53,rxn_1779,15.466,35.467,-20.001
54,rxn_1801,11.693,45.794,-34.101
55,rxn_1814,13.442,43.845,-30.403
56,rxn_1886,19.601,44.328,-24.727
58,rxn_1919,13.032,30.415,-17.383
60,rxn_2012,14.036,40.095,-26.059
61,rxn_2211,22.621,49.231,-26.61
63,rxn_2260,12.104,48.19,-36.086
64,rxn_2270,11.345,44.23,-32.885
65,rxn_2310,13.313,43.404,-30.09
66,rxn_2326,21.072,48.358,-27.287
67,rxn_2334,15.026,47.256,-32.229
68,rxn_2468,20.965,46.148,-25.183
69,rxn_2473,10.092,47.621,-37.529
71,rxn_2482,14.68,46.28,-31.6
72,rxn_2517,17.116,44.905,-27.789
73,rxn_2530,16.07,48.097,-32.027
75,rxn_2645,13.791,43.482,-29.691
76,rxn_2672,12.682,46.654,-33.972
77,rxn_2676,6.369,42.449,-36.08
79,rxn_2720,7.787,46.08,-38.293
80,rxn_2759,12.692,47.106,-34.414
81,rxn_2760,8.81,46.388,-37.578
82,rxn_2890,12.734,42.576,-29.842
84,rxn_2972,25.938,37.642,-11.704
86,rxn_3030,13.61,34.113,-20.503
88,rxn_3198,6.967,32.127,-25.16
89,rxn_3225,14.45,36.006,-21.556
91,rxn_3483,23.647,32.725,-9.078
92,rxn_3536,23.811,32.882,-9.071
93,rxn_3759,-3.319,17.844,-21.163
95,rxn_3781,-0.219,21.274,-21.494
97,rxn_4123,8.01,26.732,-18.722
99,rxn_4392,5.533,14.643,-9.11
100,rxn_4581,17.34,30.316,-12.976
101,rxn_4652,-5.1,24.058,-29.159
103,rxn_4937,8.428,19.817,-11.389
104,rxn_5047,2.293,27.331,-25.038
105,rxn_5129,0.274,23.855,-23.58
106,rxn_5191,41.225,37.242,3.983
107,rxn_5245,26.93,31.755,-4.825
108,rxn_5345,30.956,37.457,-6.501
109,rxn_5374,28.643,34.186,-5.544
111,rxn_5432,28.404,44.445,-16.041
112,rxn_5506,27.49,34.676,-7.186
113,rxn_5534,35.063,36.101,-1.037
116,rxn_5581,21.283,35.81,-14.526
117,rxn_5582,13.033,22.254,-9.221
118,rxn_5590,20.237,30.088,-9.851
119,rxn_5616,19.019,29.525,-10.506
121,rxn_5653,21.106,31.524,-10.418
123,rxn_5748,15.749,37.701,-21.951
124,rxn_5751,20.269,32.331,-12.062
125,rxn_5756,21.243,38.872,-17.63
127,rxn_5854,21.198,32.599,-11.4
131,rxn_5956,27.976,47.58,-19.604
135,rxn_5998,21.703,37.737,-16.034
136,rxn_6105,25.186,37.28,-12.095
139,rxn_6178,27.193,44.242,-17.049
140,rxn_6180,16.696,27.531,-10.835
143,rxn_6261,20.943,35.754,-14.812
145,rxn_6317,45.976,50.11,-4.135
146,rxn_6322,54.22,54.793,-0.572
149,rxn_6410,27.029,16.039,10.99
151,rxn_6583,42.809,25.744,17.066
152,rxn_6612,23.712,11.769,11.943
154,rxn_7236,29.313,27.788,1.526
157,rxn_7614,30.346,21.758,8.588
160,rxn_7911,31.057,65.034,-33.976
161,rxn_7955,29.699,64.876,-35.177
168,rxn_8339,20.116,62.07,-41.953
169,rxn_8396,27.575,63.906,-36.331
