,Name,b97m-v-DFT-forward,b97m-v-DFT-reverse,b97m-v-DFT-reaction
0,rxn_33,10.15,45.835,-35.685
1,rxn_53,18.865,50.089,-31.225
2,rxn_83,6.878,38.554,-31.676
3,rxn_216,9.687,36.375,-26.688
4,rxn_310,10.675,46.07,-35.396
5,rxn_365,25.002,55.82,-30.818
8,rxn_632,9.839,46.341,-36.502
12,rxn_721,15.924,50.779,-34.856
13,rxn_745,21.949,22.625,-0.677
14,rxn_751,2.806,13.536,-10.73
15,rxn_769,21.957,22.91,-0.953
19,rxn_839,20.63,26.824,-6.193
20,rxn_853,24.417,26.234,-1.817
22,rxn_942,25.093,41.79,-16.697
23,rxn_971,23.92,36.404,-12.484
24,rxn_1000,31.844,31.076,0.768
25,rxn_1011,31.238,29.882,1.356
26,rxn_1017,25.77,29.523,-3.753
27,rxn_1024,16.635,25.548,-8.913
29,rxn_1093,22.108,28.457,-6.349
30,rxn_1181,20.379,27.901,-7.522
32,rxn_1225,16.433,23.427,-6.994
34,rxn_1248,24.358,27.327,-2.969
35,rxn_1285,24.469,34.996,-10.527
38,rxn_1394,18.324,24.342,-6.017
39,rxn_1424,21.603,28.199,-6.596
40,rxn_1441,26.217,31.061,-4.845
41,rxn_1463,7.927,54.075,-46.147
42,rxn_1466,4.572,54.052,-49.48
43,rxn_1469,5.943,55.203,-49.26
44,rxn_1479,15.492,59.751,-44.259
45,rxn_1480,8.865,51.971,-43.107
47,rxn_1495,5.709,56.416,-50.707
49,rxn_1536,11.056,38.655,-27.599
50,rxn_1606,14.137,42.985,-28.847
51,rxn_1708,13.019,40.327,-27.309
53,rxn_1779,12.405,38.457,-26.052
54,rxn_1801,9.487,48.29,-38.803
55,rxn_1814,11.138,46.016,-34.879
56,rxn_1886,17.46,47.223,-29.763
58,rxn_1919,10.721,33.718,-22.997
60,rxn_2012,11.535,43.488,-31.953
61,rxn_2211,20.329,52.114,-31.785
63,rxn_2260,8.163,51.163,-43.0
64,rxn_2270,8.339,47.465,-39.126
65,rxn_2310,11.355,46.402,-35.047
66,rxn_2326,19.219,50.756,-31.537
67,rxn_2334,12.015,50.152,-38.138
68,rxn_2468,19.038,48.4,-29.362
69,rxn_2473,6.226,50.232,-44.006
71,rxn_2482,11.724,49.201,-37.477
72,rxn_2517,15.309,47.786,-32.477
73,rxn_2530,12.776,50.703,-37.927
75,rxn_2645,11.234,46.576,-35.342
76,rxn_2672,9.435,50.078,-40.643
77,rxn_2676,4.045,46.531,-42.486
79,rxn_2720,5.224,48.782,-43.557
80,rxn_2759,9.006,49.847,-40.841
81,rxn_2760,6.248,49.279,-43.032
82,rxn_2890,10.253,46.364,-36.111
84,rxn_2972,23.104,42.454,-19.35
86,rxn_3030,10.531,39.308,-28.778
88,rxn_3198,3.7,36.769,-33.069
89,rxn_3225,11.507,41.338,-29.831
91,rxn_3483,20.081,37.962,-17.881
92,rxn_3536,20.488,38.202,-17.713
93,rxn_3759,-8.985,22.053,-31.038
95,rxn_3781,-4.524,25.222,-29.746
97,rxn_4123,3.517,32.21,-28.694
99,rxn_4392,1.56,20.172,-18.612
100,rxn_4581,14.93,34.778,-19.848
101,rxn_4652,-9.332,29.552,-38.885
103,rxn_4937,4.251,24.178,-19.927
104,rxn_5047,-1.558,32.659,-34.217
105,rxn_5129,-3.898,29.176,-33.074
106,rxn_5191,39.907,37.988,1.919
107,rxn_5245,27.517,34.403,-6.886
108,rxn_5345,30.547,39.461,-8.914
109,rxn_5374,28.749,36.086,-7.337
111,rxn_5432,27.333,46.583,-19.25
112,rxn_5506,27.247,36.799,-9.552
113,rxn_5534,33.729,36.207,-2.478
116,rxn_5581,24.163,38.499,-14.337
117,rxn_5582,16.423,25.277,-8.854
118,rxn_5590,23.554,31.694,-8.14
119,rxn_5616,21.588,31.093,-9.505
121,rxn_5653,23.455,33.804,-10.349
123,rxn_5748,18.63,39.862,-21.232
124,rxn_5751,22.072,34.23,-12.157
125,rxn_5756,24.071,40.957,-16.886
127,rxn_5854,23.227,34.163,-10.936
131,rxn_5956,31.574,50.835,-19.261
135,rxn_5998,23.308,38.625,-15.317
136,rxn_6105,29.041,39.289,-10.248
139,rxn_6178,30.314,47.312,-16.999
140,rxn_6180,19.64,29.717,-10.076
143,rxn_6261,23.44,37.188,-13.748
145,rxn_6317,49.004,48.867,0.137
146,rxn_6322,57.375,53.242,4.133
149,rxn_6410,27.013,18.62,8.393
151,rxn_6583,43.724,29.634,14.089
152,rxn_6612,24.948,15.001,9.947
154,rxn_7236,28.575,30.437,-1.862
157,rxn_7614,29.167,25.47,3.696
160,rxn_7911,31.392,68.398,-37.007
161,rxn_7955,29.189,67.88,-38.691
168,rxn_8339,19.613,65.646,-46.033
169,rxn_8396,26.894,67.139,-40.245
