,Name,m06-DFT-forward,m06-DFT-reverse,m06-DFT-reaction
0,rxn_33,14.709,50.393,-35.684
1,rxn_53,23.351,54.223,-30.872
2,rxn_83,11.871,42.496,-30.625
3,rxn_216,14.078,40.287,-26.209
4,rxn_310,14.744,50.332,-35.588
5,rxn_365,28.408,59.914,-31.506
8,rxn_632,14.937,49.887,-34.95
12,rxn_721,19.445,54.933,-35.488
13,rxn_745,24.232,24.153,0.079
14,rxn_751,7.71,16.061,-8.351
15,rxn_769,25.91,25.392,0.518
19,rxn_839,22.776,27.749,-4.973
20,rxn_853,26.659,27.105,-0.446
22,rxn_942,27.891,41.72,-13.829
23,rxn_971,26.072,36.526,-10.455
24,rxn_1000,34.245,31.494,2.751
25,rxn_1011,34.513,30.989,3.525
26,rxn_1017,28.989,30.222,-1.233
27,rxn_1024,19.415,27.451,-8.035
29,rxn_1093,26.108,30.173,-4.065
30,rxn_1181,22.478,29.061,-6.582
32,rxn_1225,18.948,25.067,-6.12
34,rxn_1248,26.878,28.283,-1.405
35,rxn_1285,26.272,35.388,-9.116
38,rxn_1394,20.84,26.132,-5.292
39,rxn_1424,25.175,30.001,-4.826
40,rxn_1441,29.742,32.125,-2.383
41,rxn_1463,14.511,53.134,-38.622
42,rxn_1466,10.402,53.386,-42.984
43,rxn_1469,11.468,53.944,-42.476
44,rxn_1479,20.484,57.854,-37.37
45,rxn_1480,14.348,50.568,-36.219
47,rxn_1495,11.622,55.175,-43.553
49,rxn_1536,15.041,42.405,-27.363
50,rxn_1606,17.692,47.044,-29.352
51,rxn_1708,16.832,44.524,-27.691
53,rxn_1779,16.287,42.485,-26.199
54,rxn_1801,12.436,50.605,-38.168
55,rxn_1814,13.833,48.792,-34.959
56,rxn_1886,20.478,50.878,-30.4
58,rxn_1919,14.607,38.257,-23.65
60,rxn_2012,15.18,46.333,-31.153
61,rxn_2211,23.412,55.389,-31.977
63,rxn_2260,12.746,54.823,-42.077
64,rxn_2270,12.154,50.366,-38.212
65,rxn_2310,15.06,49.275,-34.215
66,rxn_2326,22.267,53.594,-31.326
67,rxn_2334,15.811,53.935,-38.124
68,rxn_2468,22.346,51.312,-28.966
69,rxn_2473,10.504,53.358,-42.854
71,rxn_2482,15.02,52.461,-37.441
72,rxn_2517,18.793,50.504,-31.711
73,rxn_2530,16.429,54.21,-37.781
75,rxn_2645,14.429,50.941,-36.513
76,rxn_2672,13.308,53.003,-39.695
77,rxn_2676,6.86,48.913,-42.053
79,rxn_2720,9.046,51.933,-42.887
80,rxn_2759,13.609,53.515,-39.906
81,rxn_2760,10.436,52.569,-42.132
82,rxn_2890,13.835,50.392,-36.557
84,rxn_2972,25.379,45.475,-20.095
86,rxn_3030,13.325,41.981,-28.656
88,rxn_3198,7.17,39.997,-32.827
89,rxn_3225,14.29,43.046,-28.756
91,rxn_3483,21.873,40.146,-18.272
92,rxn_3536,21.33,41.257,-19.927
93,rxn_3759,-5.014,22.928,-27.942
95,rxn_3781,-1.554,27.454,-29.008
97,rxn_4123,7.515,33.931,-26.416
99,rxn_4392,9.471,27.647,-18.176
100,rxn_4581,17.352,36.948,-19.596
101,rxn_4652,-5.76,31.243,-37.003
103,rxn_4937,6.947,26.407,-19.46
104,rxn_5047,1.625,34.053,-32.427
105,rxn_5129,-1.348,31.771,-33.119
106,rxn_5191,43.55,39.266,4.283
107,rxn_5245,33.166,35.515,-2.349
108,rxn_5345,36.052,40.2,-4.149
109,rxn_5374,33.881,37.29,-3.409
111,rxn_5432,33.309,44.955,-11.646
112,rxn_5506,33.125,37.166,-4.041
113,rxn_5534,37.348,36.756,0.592
116,rxn_5581,29.229,43.563,-14.334
117,rxn_5582,21.944,30.963,-9.019
118,rxn_5590,27.949,36.963,-9.014
119,rxn_5616,25.339,36.761,-11.422
121,rxn_5653,27.848,39.631,-11.783
123,rxn_5748,23.787,47.163,-23.376
124,rxn_5751,26.97,40.079,-13.108
125,rxn_5756,28.448,45.662,-17.213
127,rxn_5854,27.742,40.367,-12.625
131,rxn_5956,36.187,55.442,-19.255
135,rxn_5998,27.961,43.907,-15.946
136,rxn_6105,32.631,44.599,-11.968
139,rxn_6178,35.603,53.207,-17.604
140,rxn_6180,24.335,35.331,-10.996
143,rxn_6261,28.194,41.868,-13.674
145,rxn_6317,49.953,53.789,-3.836
146,rxn_6322,57.4,57.779,-0.379
149,rxn_6410,27.345,23.583,3.762
151,rxn_6583,46.012,35.005,11.007
152,rxn_6612,25.135,16.097,9.038
154,rxn_7236,28.909,32.17,-3.261
157,rxn_7614,29.093,28.948,0.146
160,rxn_7911,32.529,69.519,-36.99
161,rxn_7955,30.913,69.416,-38.503
168,rxn_8339,22.498,67.89,-45.392
169,rxn_8396,29.169,69.426,-40.256
