,Name,bhandhlyp-DFT-forward,bhandhlyp-DFT-reverse,bhandhlyp-DFT-reaction
0,rxn_33,31.585,57.864,-26.28
1,rxn_53,39.94,61.925,-21.985
2,rxn_83,28.845,51.775,-22.93
3,rxn_216,31.698,52.942,-21.244
4,rxn_310,29.474,57.188,-27.713
5,rxn_365,44.525,65.485,-20.96
8,rxn_632,33.201,59.486,-26.285
12,rxn_721,32.012,61.331,-29.319
13,rxn_745,35.965,30.644,5.321
14,rxn_751,19.172,20.788,-1.616
15,rxn_769,40.133,32.096,8.037
19,rxn_839,32.167,34.419,-2.252
20,rxn_853,37.884,33.333,4.551
22,rxn_942,37.128,49.237,-12.109
23,rxn_971,36.231,44.241,-8.01
24,rxn_1000,48.954,37.575,11.379
25,rxn_1011,51.758,35.939,15.819
26,rxn_1017,44.618,36.561,8.056
27,rxn_1024,28.125,32.294,-4.17
29,rxn_1093,41.127,35.198,5.929
30,rxn_1181,31.359,34.375,-3.016
32,rxn_1225,29.14,30.631,-1.491
34,rxn_1248,41.369,34.071,7.299
35,rxn_1285,35.387,41.6,-6.212
38,rxn_1394,30.383,32.155,-1.772
39,rxn_1424,39.56,35.236,4.324
40,rxn_1441,43.502,38.358,5.144
41,rxn_1463,29.273,57.205,-27.932
42,rxn_1466,25.703,55.594,-29.89
43,rxn_1469,27.656,56.629,-28.972
44,rxn_1479,38.599,57.316,-18.717
45,rxn_1480,33.185,53.013,-19.828
47,rxn_1495,28.771,57.114,-28.343
49,rxn_1536,27.245,48.327,-21.082
50,rxn_1606,29.808,52.266,-22.458
51,rxn_1708,30.618,50.507,-19.89
53,rxn_1779,28.881,48.566,-19.685
54,rxn_1801,21.084,55.221,-34.138
55,rxn_1814,22.272,53.475,-31.202
56,rxn_1886,35.134,55.387,-20.253
58,rxn_1919,28.046,45.568,-17.522
60,rxn_2012,27.343,53.395,-26.052
61,rxn_2211,33.75,61.066,-27.315
63,rxn_2260,27.678,57.335,-29.656
64,rxn_2270,27.982,54.59,-26.609
65,rxn_2310,32.261,53.131,-20.87
66,rxn_2326,38.576,55.693,-17.117
67,rxn_2334,29.582,56.927,-27.346
68,rxn_2468,38.476,53.402,-14.925
69,rxn_2473,22.787,56.239,-33.452
71,rxn_2482,28.583,55.247,-26.664
72,rxn_2517,36.087,53.885,-17.798
73,rxn_2530,30.856,56.184,-25.328
75,rxn_2645,26.569,53.97,-27.401
76,rxn_2672,28.031,56.666,-28.636
77,rxn_2676,20.025,53.815,-33.791
79,rxn_2720,25.053,54.837,-29.784
80,rxn_2759,30.647,56.679,-26.032
81,rxn_2760,26.012,55.823,-29.811
82,rxn_2890,27.165,54.545,-27.38
84,rxn_2972,40.174,51.877,-11.704
86,rxn_3030,25.613,51.404,-25.791
88,rxn_3198,16.58,47.585,-31.005
89,rxn_3225,26.543,53.256,-26.713
91,rxn_3483,35.407,48.623,-13.216
92,rxn_3536,31.563,48.485,-16.921
93,rxn_3759,-5.243,28.334,-33.577
95,rxn_3781,-0.283,32.563,-32.846
97,rxn_4123,6.919,41.07,-34.151
99,rxn_4392,14.727,39.678,-24.952
100,rxn_4581,39.646,45.656,-6.01
101,rxn_4652,8.428,39.831,-31.403
103,rxn_4937,23.405,33.381,-9.976
104,rxn_5047,15.544,43.117,-27.574
105,rxn_5129,13.482,40.321,-26.839
106,rxn_5191,52.79,44.782,8.008
107,rxn_5245,42.145,43.321,-1.176
108,rxn_5345,42.93,46.575,-3.644
109,rxn_5374,40.908,46.401,-5.493
111,rxn_5432,40.356,54.127,-13.771
112,rxn_5506,40.859,44.126,-3.267
113,rxn_5534,47.601,46.58,1.021
116,rxn_5581,40.056,52.912,-12.856
117,rxn_5582,30.676,36.243,-5.567
118,rxn_5590,37.794,42.254,-4.461
119,rxn_5616,35.396,40.574,-5.178
121,rxn_5653,36.712,45.652,-8.94
123,rxn_5748,32.888,54.936,-22.048
124,rxn_5751,35.415,46.365,-10.95
125,rxn_5756,38.334,53.802,-15.467
127,rxn_5854,37.08,47.293,-10.213
131,rxn_5956,45.148,63.916,-18.767
135,rxn_5998,34.271,50.462,-16.191
136,rxn_6105,44.959,50.594,-5.636
139,rxn_6178,45.669,63.184,-17.514
140,rxn_6180,34.619,40.713,-6.094
143,rxn_6261,36.569,48.351,-11.782
145,rxn_6317,63.436,58.511,4.925
146,rxn_6322,70.848,63.214,7.634
149,rxn_6410,35.781,29.892,5.889
151,rxn_6583,57.235,43.922,13.313
152,rxn_6612,34.52,22.447,12.073
154,rxn_7236,36.613,38.356,-1.743
157,rxn_7614,37.452,36.968,0.484
160,rxn_7911,43.797,77.349,-33.552
161,rxn_7955,40.055,75.471,-35.416
168,rxn_8339,32.354,73.793,-41.439
169,rxn_8396,36.352,75.369,-39.017
