,Name,pbe0-DFT-forward,pbe0-DFT-reverse,pbe0-DFT-reaction
0,rxn_33,19.839,52.347,-32.508
1,rxn_53,27.149,56.0,-28.85
2,rxn_83,15.718,44.239,-28.52
3,rxn_216,19.072,43.864,-24.792
4,rxn_310,17.856,51.732,-33.876
5,rxn_365,31.06,61.366,-30.306
8,rxn_632,20.619,52.777,-32.158
12,rxn_721,19.943,57.112,-37.169
13,rxn_745,24.609,26.026,-1.416
14,rxn_751,10.128,18.463,-8.335
15,rxn_769,28.735,26.562,2.173
19,rxn_839,22.369,29.464,-7.095
20,rxn_853,26.906,28.824,-1.918
22,rxn_942,27.523,44.073,-16.55
23,rxn_971,26.409,38.473,-12.064
24,rxn_1000,37.972,32.566,5.406
25,rxn_1011,39.554,31.645,7.909
26,rxn_1017,33.526,31.551,1.975
27,rxn_1024,17.711,28.395,-10.684
29,rxn_1093,29.84,30.809,-0.969
30,rxn_1181,20.511,30.285,-9.774
32,rxn_1225,18.539,26.485,-7.946
34,rxn_1248,30.072,29.56,0.512
35,rxn_1285,25.18,36.831,-11.65
38,rxn_1394,20.371,26.903,-6.533
39,rxn_1424,28.129,30.757,-2.628
40,rxn_1441,32.667,33.288,-0.621
41,rxn_1463,15.759,55.433,-39.674
42,rxn_1466,11.784,55.237,-43.453
43,rxn_1469,14.992,57.428,-42.436
44,rxn_1479,26.226,59.53,-33.304
45,rxn_1480,20.046,53.716,-33.669
47,rxn_1495,16.446,58.351,-41.905
49,rxn_1536,14.76,45.154,-30.395
50,rxn_1606,17.98,49.645,-31.665
51,rxn_1708,17.874,47.122,-29.248
53,rxn_1779,16.341,45.261,-28.92
54,rxn_1801,10.037,53.236,-43.199
55,rxn_1814,11.236,51.418,-40.182
56,rxn_1886,22.377,52.406,-30.029
58,rxn_1919,15.434,42.134,-26.7
60,rxn_2012,14.794,49.189,-34.395
61,rxn_2211,21.839,56.941,-35.102
63,rxn_2260,16.545,55.244,-38.7
64,rxn_2270,16.764,52.467,-35.703
65,rxn_2310,20.736,52.195,-31.459
66,rxn_2326,26.353,54.636,-28.283
67,rxn_2334,18.187,54.781,-36.594
68,rxn_2468,26.073,52.387,-26.313
69,rxn_2473,11.993,54.558,-42.565
71,rxn_2482,17.476,53.462,-35.985
72,rxn_2517,24.208,52.953,-28.745
73,rxn_2530,19.515,54.393,-34.878
75,rxn_2645,15.652,51.817,-36.165
76,rxn_2672,16.807,54.795,-37.988
77,rxn_2676,8.187,50.188,-42.001
79,rxn_2720,13.647,53.324,-39.677
80,rxn_2759,19.393,54.96,-35.567
81,rxn_2760,14.446,54.257,-39.812
82,rxn_2890,15.879,52.173,-36.294
84,rxn_2972,30.691,45.018,-14.327
86,rxn_3030,16.274,42.971,-26.697
88,rxn_3198,9.547,40.832,-31.285
89,rxn_3225,17.867,45.409,-27.542
91,rxn_3483,26.101,40.714,-14.613
92,rxn_3536,23.885,40.494,-16.609
93,rxn_3759,-7.711,24.957,-32.668
95,rxn_3781,-3.348,29.036,-32.384
97,rxn_4123,4.273,36.6,-32.328
99,rxn_4392,7.773,30.351,-22.578
100,rxn_4581,28.693,41.846,-13.154
101,rxn_4652,-0.941,35.215,-36.156
103,rxn_4937,11.984,28.711,-16.728
104,rxn_5047,5.454,37.858,-32.404
105,rxn_5129,4.289,34.948,-30.659
106,rxn_5191,42.45,37.782,4.669
107,rxn_5245,33.924,37.42,-3.497
108,rxn_5345,34.702,40.272,-5.57
109,rxn_5374,32.925,39.328,-6.402
111,rxn_5432,31.7,46.404,-14.704
112,rxn_5506,32.667,38.403,-5.736
113,rxn_5534,35.461,37.303,-1.842
116,rxn_5581,32.104,46.023,-13.919
117,rxn_5582,24.702,32.161,-7.459
118,rxn_5590,30.677,37.103,-6.426
119,rxn_5616,29.423,36.069,-6.646
121,rxn_5653,30.093,39.902,-9.808
123,rxn_5748,25.742,48.125,-22.384
124,rxn_5751,28.248,40.012,-11.764
125,rxn_5756,31.64,46.763,-15.123
127,rxn_5854,30.394,40.958,-10.564
131,rxn_5956,38.314,56.837,-18.523
135,rxn_5998,27.759,44.105,-16.345
136,rxn_6105,37.774,45.077,-7.303
139,rxn_6178,38.049,55.897,-17.848
140,rxn_6180,27.858,35.12,-7.262
143,rxn_6261,29.691,41.275,-11.584
145,rxn_6317,50.139,53.114,-2.975
146,rxn_6322,57.485,57.561,-0.075
149,rxn_6410,27.495,21.819,5.676
151,rxn_6583,47.418,37.043,10.375
152,rxn_6612,25.832,18.187,7.646
154,rxn_7236,28.33,32.182,-3.852
157,rxn_7614,27.766,29.125,-1.358
160,rxn_7911,31.377,73.051,-41.674
161,rxn_7955,28.41,71.723,-43.313
168,rxn_8339,19.797,71.264,-51.467
169,rxn_8396,25.041,71.388,-46.347
