,Name,pbe-qidh-DFT-forward,pbe-qidh-DFT-reverse,pbe-qidh-DFT-reaction
0,rxn_33,10.502,56.263,-45.761
1,rxn_53,18.437,60.04,-41.603
2,rxn_83,7.404,48.265,-40.861
3,rxn_216,10.133,46.109,-35.977
4,rxn_310,9.793,55.97,-46.177
5,rxn_365,24.995,65.841,-40.846
8,rxn_632,10.801,55.921,-45.12
12,rxn_721,14.346,60.981,-46.635
13,rxn_745,18.516,29.055,-10.539
14,rxn_751,4.825,23.273,-18.449
15,rxn_769,21.804,30.632,-8.828
19,rxn_839,18.007,33.204,-15.197
20,rxn_853,20.364,31.626,-11.262
22,rxn_942,24.222,48.247,-24.025
23,rxn_971,22.005,42.353,-20.348
24,rxn_1000,30.877,36.354,-5.476
25,rxn_1011,30.659,34.581,-3.922
26,rxn_1017,25.305,34.964,-9.659
27,rxn_1024,14.337,31.774,-17.437
29,rxn_1093,21.556,34.378,-12.822
30,rxn_1181,17.283,33.547,-16.264
32,rxn_1225,13.176,29.316,-16.139
34,rxn_1248,22.109,32.777,-10.669
35,rxn_1285,21.972,40.409,-18.437
38,rxn_1394,16.023,30.952,-14.929
39,rxn_1424,20.548,34.357,-13.809
40,rxn_1441,26.15,37.156,-11.006
41,rxn_1463,8.161,56.738,-48.576
42,rxn_1466,4.612,56.253,-51.641
43,rxn_1469,7.024,59.286,-52.261
44,rxn_1479,17.075,62.488,-45.413
45,rxn_1480,9.472,54.996,-45.524
47,rxn_1495,7.533,60.163,-52.63
49,rxn_1536,9.074,48.771,-39.697
50,rxn_1606,12.432,52.965,-40.533
51,rxn_1708,11.989,51.041,-39.052
53,rxn_1779,10.341,48.917,-38.576
54,rxn_1801,6.679,56.708,-50.028
55,rxn_1814,8.365,55.259,-46.894
56,rxn_1886,16.377,56.206,-39.829
58,rxn_1919,10.903,46.766,-35.863
60,rxn_2012,10.16,53.058,-42.897
61,rxn_2211,18.609,61.438,-42.828
63,rxn_2260,7.448,58.69,-51.243
64,rxn_2270,6.957,54.907,-47.95
65,rxn_2310,14.399,57.515,-43.116
66,rxn_2326,17.878,57.605,-39.727
67,rxn_2334,10.087,57.681,-47.594
68,rxn_2468,17.946,55.565,-37.619
69,rxn_2473,4.899,57.065,-52.166
71,rxn_2482,9.308,56.306,-46.998
72,rxn_2517,16.048,56.503,-40.455
73,rxn_2530,10.817,57.559,-46.743
75,rxn_2645,8.808,55.124,-46.316
76,rxn_2672,7.921,57.418,-49.497
77,rxn_2676,2.314,54.11,-51.797
79,rxn_2720,4.407,55.636,-51.229
80,rxn_2759,8.925,57.559,-48.634
81,rxn_2760,5.72,56.583,-50.863
82,rxn_2890,9.216,55.95,-46.734
84,rxn_2972,23.534,49.046,-25.511
86,rxn_3030,9.593,47.354,-37.761
88,rxn_3198,4.269,45.393,-41.124
89,rxn_3225,11.398,48.767,-37.369
91,rxn_3483,18.167,44.251,-26.084
92,rxn_3536,17.688,45.234,-27.546
93,rxn_3759,-10.515,28.206,-38.721
95,rxn_3781,-5.791,32.534,-38.325
97,rxn_4123,2.578,40.584,-38.006
99,rxn_4392,7.804,36.588,-28.784
100,rxn_4581,21.048,49.053,-28.005
101,rxn_4652,-7.432,41.317,-48.748
103,rxn_4937,3.355,34.356,-31.0
104,rxn_5047,0.004,44.026,-44.022
105,rxn_5129,-3.35,40.801,-44.151
106,rxn_5191,43.238,38.211,5.027
107,rxn_5245,35.415,36.622,-1.208
108,rxn_5345,36.047,39.862,-3.815
109,rxn_5374,34.918,38.425,-3.508
111,rxn_5432,33.311,45.343,-12.032
112,rxn_5506,33.814,37.98,-4.166
113,rxn_5534,36.66,35.431,1.229
116,rxn_5581,32.467,48.467,-16.0
117,rxn_5582,26.289,37.101,-10.812
118,rxn_5590,30.398,39.996,-9.599
119,rxn_5616,29.947,40.888,-10.941
121,rxn_5653,30.947,43.754,-12.808
123,rxn_5748,26.891,52.008,-25.117
124,rxn_5751,28.177,42.683,-14.507
125,rxn_5756,32.488,50.123,-17.636
127,rxn_5854,30.723,44.369,-13.646
131,rxn_5956,40.942,61.364,-20.421
135,rxn_5998,29.14,46.652,-17.512
136,rxn_6105,38.083,48.943,-10.86
139,rxn_6178,39.906,59.632,-19.726
140,rxn_6180,27.264,38.743,-11.48
143,rxn_6261,30.047,44.543,-14.496
145,rxn_6317,52.129,56.115,-3.986
146,rxn_6322,58.693,59.499,-0.806
149,rxn_6410,25.078,24.234,0.844
151,rxn_6583,45.042,40.097,4.945
152,rxn_6612,25.283,22.033,3.25
154,rxn_7236,26.758,35.028,-8.27
157,rxn_7614,25.077,31.819,-6.742
160,rxn_7911,29.421,76.102,-46.681
161,rxn_7955,27.182,76.089,-48.907
168,rxn_8339,19.24,75.087,-55.846
169,rxn_8396,23.484,74.716,-51.232
