,Name,wb97x-v-DFT-forward,wb97x-v-DFT-reverse,wb97x-v-DFT-reaction
0,rxn_33,12.73,62.076,-49.346
1,rxn_53,21.017,65.597,-44.58
2,rxn_83,11.099,55.262,-44.164
3,rxn_216,13.167,51.348,-38.181
4,rxn_310,13.311,61.955,-48.644
5,rxn_365,28.719,70.737,-42.017
8,rxn_632,13.439,61.466,-48.027
12,rxn_721,18.568,65.84,-47.271
13,rxn_745,22.079,33.558,-11.479
14,rxn_751,7.236,26.568,-19.332
15,rxn_769,25.076,36.008,-10.932
19,rxn_839,21.032,36.648,-15.617
20,rxn_853,23.431,36.114,-12.683
22,rxn_942,26.358,50.622,-24.264
23,rxn_971,24.828,45.393,-20.565
24,rxn_1000,32.051,40.292,-8.241
25,rxn_1011,32.485,38.757,-6.272
26,rxn_1017,26.516,39.198,-12.682
27,rxn_1024,18.498,35.273,-16.775
29,rxn_1093,23.705,38.757,-15.053
30,rxn_1181,21.415,36.791,-15.376
32,rxn_1225,16.684,33.114,-16.431
34,rxn_1248,24.137,36.943,-12.807
35,rxn_1285,25.29,43.316,-18.026
38,rxn_1394,19.594,35.076,-15.481
39,rxn_1424,23.338,38.661,-15.323
40,rxn_1441,27.96,41.265,-13.304
41,rxn_1463,10.667,61.769,-51.102
42,rxn_1466,7.725,60.93,-53.205
43,rxn_1469,8.534,62.783,-54.25
44,rxn_1479,17.508,66.424,-48.916
45,rxn_1480,10.292,59.339,-49.047
47,rxn_1495,8.225,63.625,-55.4
49,rxn_1536,14.67,53.615,-38.945
50,rxn_1606,16.855,56.72,-39.865
51,rxn_1708,17.316,56.192,-38.876
53,rxn_1779,16.004,54.021,-38.017
54,rxn_1801,12.16,59.531,-47.372
55,rxn_1814,13.617,58.095,-44.478
56,rxn_1886,20.72,60.43,-39.71
58,rxn_1919,17.081,52.22,-35.139
60,rxn_2012,15.363,57.19,-41.827
61,rxn_2211,23.114,64.945,-41.83
63,rxn_2260,11.055,62.113,-51.058
64,rxn_2270,10.354,58.085,-47.731
65,rxn_2310,18.625,60.32,-41.695
66,rxn_2326,22.405,60.757,-38.352
67,rxn_2334,14.418,60.721,-46.303
68,rxn_2468,22.682,58.679,-35.998
69,rxn_2473,9.008,60.001,-50.993
71,rxn_2482,13.608,59.329,-45.721
72,rxn_2517,19.957,59.321,-39.364
73,rxn_2530,14.809,61.056,-46.247
75,rxn_2645,13.563,58.354,-44.791
76,rxn_2672,11.94,60.197,-48.257
77,rxn_2676,7.803,57.849,-50.046
79,rxn_2720,7.491,58.508,-51.017
80,rxn_2759,11.375,60.77,-49.395
81,rxn_2760,9.104,59.457,-50.353
82,rxn_2890,14.185,59.265,-45.08
84,rxn_2972,23.517,52.507,-28.99
86,rxn_3030,10.531,52.001,-41.471
88,rxn_3198,4.514,48.428,-43.914
89,rxn_3225,11.833,52.308,-40.475
91,rxn_3483,18.046,48.139,-30.093
92,rxn_3536,18.397,49.736,-31.339
93,rxn_3759,-11.43,28.126,-39.555
95,rxn_3781,-6.177,32.324,-38.5
97,rxn_4123,1.843,40.035,-38.192
99,rxn_4392,9.817,40.819,-31.002
100,rxn_4581,20.491,52.03,-31.539
101,rxn_4652,-6.083,44.792,-50.874
103,rxn_4937,4.673,38.748,-34.075
104,rxn_5047,1.571,47.156,-45.585
105,rxn_5129,-2.256,45.436,-47.692
106,rxn_5191,48.177,45.541,2.636
107,rxn_5245,40.439,43.412,-2.973
108,rxn_5345,41.611,47.168,-5.557
109,rxn_5374,39.546,45.265,-5.719
111,rxn_5432,37.934,51.881,-13.948
112,rxn_5506,39.286,44.451,-5.165
113,rxn_5534,42.568,42.087,0.481
116,rxn_5581,35.892,52.858,-16.967
117,rxn_5582,30.304,41.704,-11.4
118,rxn_5590,33.966,44.263,-10.297
119,rxn_5616,32.508,45.386,-12.879
121,rxn_5653,35.072,48.428,-13.356
123,rxn_5748,30.729,56.037,-25.307
124,rxn_5751,32.404,47.708,-15.304
125,rxn_5756,35.424,54.559,-19.135
127,rxn_5854,34.175,49.287,-15.111
131,rxn_5956,44.443,65.833,-21.39
135,rxn_5998,32.759,50.296,-17.537
136,rxn_6105,40.88,53.42,-12.539
139,rxn_6178,44.053,64.259,-20.207
140,rxn_6180,30.637,43.626,-12.989
143,rxn_6261,33.653,49.154,-15.501
145,rxn_6317,59.342,61.842,-2.5
146,rxn_6322,66.294,65.382,0.912
149,rxn_6410,27.717,29.35,-1.633
151,rxn_6583,48.172,44.939,3.233
152,rxn_6612,27.76,24.2,3.56
154,rxn_7236,28.906,38.907,-10.001
157,rxn_7614,27.796,36.369,-8.573
160,rxn_7911,34.551,78.501,-43.95
161,rxn_7955,31.493,78.227,-46.734
168,rxn_8339,24.364,77.471,-53.107
169,rxn_8396,29.913,77.283,-47.37
