,Name,b3lyp-DFT-forward,b3lyp-DFT-reverse,b3lyp-DFT-reaction
0,rxn_33,29.718,44.741,-15.022
1,rxn_53,37.308,48.833,-11.524
2,rxn_216,29.915,40.166,-10.251
3,rxn_310,27.297,43.773,-16.476
4,rxn_365,40.159,52.071,-11.911
7,rxn_632,31.174,46.762,-15.588
11,rxn_721,28.497,48.609,-20.111
12,rxn_745,34.601,20.636,13.964
13,rxn_751,18.64,11.11,7.53
14,rxn_769,38.763,21.262,17.501
18,rxn_853,36.819,23.553,13.266
20,rxn_971,34.626,33.086,1.54
21,rxn_1000,47.749,27.221,20.528
22,rxn_1017,44.009,26.333,17.675
23,rxn_1024,26.301,22.627,3.675
25,rxn_1093,40.891,24.854,16.038
26,rxn_1181,29.136,24.704,4.432
29,rxn_1248,40.853,23.921,16.931
30,rxn_1285,33.191,31.237,1.954
33,rxn_1394,29.12,21.404,7.715
34,rxn_1424,39.244,24.924,14.319
35,rxn_1441,42.184,27.812,14.373
36,rxn_1463,25.615,49.724,-24.109
37,rxn_1466,21.771,48.852,-27.081
38,rxn_1479,35.231,50.512,-15.281
39,rxn_1480,30.199,46.663,-16.465
41,rxn_1495,25.822,50.504,-24.682
43,rxn_1536,23.787,36.882,-13.096
45,rxn_1708,26.828,38.555,-11.727
47,rxn_1779,25.426,36.9,-11.474
48,rxn_1814,19.231,42.948,-23.717
49,rxn_1886,31.754,43.794,-12.04
51,rxn_1919,23.898,33.37,-9.472
53,rxn_2012,23.797,41.776,-17.979
54,rxn_2211,29.786,48.984,-19.198
56,rxn_2260,26.007,47.016,-21.009
57,rxn_2270,27.157,45.268,-18.111
58,rxn_2310,29.157,43.005,-13.848
59,rxn_2334,27.427,46.637,-19.21
60,rxn_2468,35.619,43.964,-8.345
62,rxn_2482,26.909,45.721,-18.812
63,rxn_2517,33.468,44.418,-10.95
64,rxn_2530,28.882,46.161,-17.278
66,rxn_2645,24.57,43.882,-19.313
67,rxn_2672,26.39,47.073,-20.683
68,rxn_2676,17.121,43.207,-26.086
70,rxn_2720,23.844,45.976,-22.133
71,rxn_2760,24.521,46.739,-22.217
72,rxn_2890,24.443,44.158,-19.715
74,rxn_2972,38.34,38.171,0.169
77,rxn_3198,16.383,34.588,-18.205
78,rxn_3225,25.182,39.631,-14.449
80,rxn_3483,34.668,35.453,-0.786
81,rxn_3536,30.994,33.929,-2.935
82,rxn_3759,-0.917,20.312,-21.229
86,rxn_4392,11.871,23.15,-11.279
87,rxn_4581,37.535,32.98,4.555
88,rxn_4652,7.569,28.281,-20.712
90,rxn_4937,21.766,21.435,0.33
91,rxn_5129,12.727,27.284,-14.558
92,rxn_5245,32.186,35.228,-3.042
93,rxn_5345,33.363,38.58,-5.217
94,rxn_5374,31.62,37.882,-6.262
96,rxn_5432,30.669,46.244,-15.576
97,rxn_5506,31.383,36.138,-4.755
98,rxn_5534,38.828,39.639,-0.811
101,rxn_5590,29.161,32.959,-3.798
103,rxn_5653,27.862,35.216,-7.354
105,rxn_5751,26.867,36.45,-9.583
106,rxn_5756,29.479,42.924,-13.445
108,rxn_5854,28.186,36.62,-8.434
112,rxn_5956,35.093,52.54,-17.447
116,rxn_6105,35.845,40.084,-4.239
119,rxn_6178,34.966,50.924,-15.958
120,rxn_6180,26.528,30.683,-4.155
124,rxn_6322,62.052,51.817,10.235
127,rxn_6410,33.186,17.371,15.815
129,rxn_6583,52.764,30.734,22.03
130,rxn_6612,31.074,13.54,17.535
132,rxn_7236,33.015,26.526,6.49
137,rxn_7911,38.318,65.756,-27.439
143,rxn_8339,26.105,62.298,-36.194
