,Name,pbe-qidh-DFT-forward,pbe-qidh-DFT-reverse,pbe-qidh-DFT-reaction
0,rxn_33,10.502,56.263,-45.761
1,rxn_53,18.437,60.04,-41.603
2,rxn_216,10.133,46.109,-35.977
3,rxn_310,9.793,55.97,-46.177
4,rxn_365,24.995,65.841,-40.846
7,rxn_632,10.801,55.921,-45.12
11,rxn_721,14.346,60.981,-46.635
12,rxn_745,18.516,29.055,-10.539
13,rxn_751,4.825,23.273,-18.449
14,rxn_769,21.804,30.632,-8.828
18,rxn_853,20.364,31.626,-11.262
20,rxn_971,22.005,42.353,-20.348
21,rxn_1000,30.877,36.354,-5.476
22,rxn_1017,25.305,34.964,-9.659
23,rxn_1024,14.337,31.774,-17.437
25,rxn_1093,21.556,34.378,-12.822
26,rxn_1181,17.283,33.547,-16.264
29,rxn_1248,22.109,32.777,-10.669
30,rxn_1285,21.972,40.409,-18.437
33,rxn_1394,16.023,30.952,-14.929
34,rxn_1424,20.548,34.357,-13.809
35,rxn_1441,26.15,37.156,-11.006
36,rxn_1463,8.161,56.738,-48.576
37,rxn_1466,4.612,56.253,-51.641
38,rxn_1479,17.075,62.488,-45.413
39,rxn_1480,9.472,54.996,-45.524
41,rxn_1495,7.533,60.163,-52.63
43,rxn_1536,9.074,48.771,-39.697
45,rxn_1708,11.989,51.041,-39.052
47,rxn_1779,10.341,48.917,-38.576
48,rxn_1814,8.365,55.259,-46.894
49,rxn_1886,16.377,56.206,-39.829
51,rxn_1919,10.903,46.766,-35.863
53,rxn_2012,10.16,53.058,-42.897
54,rxn_2211,18.609,61.438,-42.828
56,rxn_2260,7.448,58.69,-51.243
57,rxn_2270,6.957,54.907,-47.95
58,rxn_2310,14.399,57.515,-43.116
59,rxn_2334,10.087,57.681,-47.594
60,rxn_2468,17.946,55.565,-37.619
62,rxn_2482,9.308,56.306,-46.998
63,rxn_2517,16.048,56.503,-40.455
64,rxn_2530,10.817,57.559,-46.743
66,rxn_2645,8.808,55.124,-46.316
67,rxn_2672,7.921,57.418,-49.497
68,rxn_2676,2.314,54.11,-51.797
70,rxn_2720,4.407,55.636,-51.229
71,rxn_2760,5.72,56.583,-50.863
72,rxn_2890,9.216,55.95,-46.734
74,rxn_2972,23.534,49.046,-25.511
77,rxn_3198,4.269,45.393,-41.124
78,rxn_3225,11.398,48.767,-37.369
80,rxn_3483,18.167,44.251,-26.084
81,rxn_3536,17.688,45.234,-27.546
82,rxn_3759,-10.515,28.206,-38.721
86,rxn_4392,7.804,36.588,-28.784
87,rxn_4581,21.048,49.053,-28.005
88,rxn_4652,-7.432,41.317,-48.748
90,rxn_4937,3.355,34.356,-31.0
91,rxn_5129,-3.35,40.801,-44.151
92,rxn_5245,35.415,36.622,-1.208
93,rxn_5345,36.047,39.862,-3.815
94,rxn_5374,34.918,38.425,-3.508
96,rxn_5432,33.311,45.343,-12.032
97,rxn_5506,33.814,37.98,-4.166
98,rxn_5534,36.66,35.431,1.229
101,rxn_5590,30.398,39.996,-9.599
103,rxn_5653,30.947,43.754,-12.808
105,rxn_5751,28.177,42.683,-14.507
106,rxn_5756,32.488,50.123,-17.636
108,rxn_5854,30.723,44.369,-13.646
112,rxn_5956,40.942,61.364,-20.421
116,rxn_6105,38.083,48.943,-10.86
119,rxn_6178,39.906,59.632,-19.726
120,rxn_6180,27.264,38.743,-11.48
124,rxn_6322,58.693,59.499,-0.806
127,rxn_6410,25.078,24.234,0.844
129,rxn_6583,45.042,40.097,4.945
130,rxn_6612,25.283,22.033,3.25
132,rxn_7236,26.758,35.028,-8.27
137,rxn_7911,29.421,76.102,-46.681
143,rxn_8339,19.24,75.087,-55.846
