,Name,pbe0-dh-DFT-forward,pbe0-dh-DFT-reverse,pbe0-dh-DFT-reaction
0,rxn_33,16.311,56.893,-40.582
1,rxn_53,23.964,60.533,-36.569
2,rxn_216,15.578,47.463,-31.885
3,rxn_310,14.867,56.457,-41.59
4,rxn_365,29.335,66.199,-36.865
7,rxn_632,16.893,56.881,-39.988
11,rxn_721,18.239,61.559,-43.32
12,rxn_745,22.189,29.495,-7.306
13,rxn_751,7.914,22.6,-14.686
14,rxn_769,25.977,30.578,-4.6
18,rxn_853,24.23,32.135,-7.905
20,rxn_971,24.811,42.49,-17.679
21,rxn_1000,35.147,36.376,-1.229
22,rxn_1017,30.113,35.191,-5.078
23,rxn_1024,16.556,31.934,-15.378
25,rxn_1093,26.319,34.553,-8.234
26,rxn_1181,19.482,33.772,-14.291
29,rxn_1248,26.73,33.129,-6.4
30,rxn_1285,24.178,40.584,-16.406
33,rxn_1394,18.701,30.916,-12.215
34,rxn_1424,24.891,34.507,-9.616
35,rxn_1441,30.123,37.185,-7.061
36,rxn_1463,13.111,57.795,-44.684
37,rxn_1466,9.334,57.383,-48.049
38,rxn_1479,22.976,62.66,-39.684
39,rxn_1480,16.083,56.008,-39.925
41,rxn_1495,13.223,60.945,-47.722
43,rxn_1536,12.977,49.258,-36.281
45,rxn_1708,16.085,51.45,-35.366
47,rxn_1779,14.413,49.416,-35.003
48,rxn_1814,10.545,55.399,-44.854
49,rxn_1886,20.444,56.58,-36.136
51,rxn_1919,14.26,46.798,-32.539
53,rxn_2012,13.476,53.403,-39.927
54,rxn_2211,21.219,61.495,-40.276
56,rxn_2260,13.037,59.048,-46.011
57,rxn_2270,12.774,55.648,-42.873
58,rxn_2310,18.554,56.679,-38.125
59,rxn_2334,15.142,58.328,-43.186
60,rxn_2468,23.154,55.908,-32.754
62,rxn_2482,14.31,56.837,-42.526
63,rxn_2517,21.22,56.62,-35.4
64,rxn_2530,16.182,57.989,-41.806
66,rxn_2645,13.127,55.517,-42.39
67,rxn_2672,13.355,58.106,-44.751
68,rxn_2676,6.193,54.154,-47.961
70,rxn_2720,10.003,56.344,-46.341
71,rxn_2760,11.066,57.332,-46.267
72,rxn_2890,13.608,56.166,-42.558
74,rxn_2972,28.034,49.486,-21.451
77,rxn_3198,7.411,45.4,-37.989
78,rxn_3225,15.44,49.583,-34.143
80,rxn_3483,22.859,44.859,-22.0
81,rxn_3536,21.401,45.45,-24.05
82,rxn_3759,-9.728,27.871,-37.599
86,rxn_4392,8.145,36.0,-27.855
87,rxn_4581,25.592,47.332,-21.739
88,rxn_4652,-3.671,40.124,-43.795
90,rxn_4937,8.449,33.511,-25.062
91,rxn_5129,1.082,40.064,-38.982
92,rxn_5245,36.681,38.797,-2.116
93,rxn_5345,37.287,41.743,-4.455
94,rxn_5374,35.757,40.721,-4.964
96,rxn_5432,34.361,47.509,-13.148
97,rxn_5506,35.163,39.918,-4.756
98,rxn_5534,37.624,37.782,-0.158
101,rxn_5590,32.203,40.237,-8.034
103,rxn_5653,32.163,43.652,-11.489
105,rxn_5751,29.909,43.185,-13.276
106,rxn_5756,33.738,50.361,-16.623
108,rxn_5854,32.308,44.595,-12.286
112,rxn_5956,41.282,60.937,-19.655
116,rxn_6105,39.613,48.78,-9.167
119,rxn_6178,40.895,59.957,-19.062
120,rxn_6180,29.169,38.664,-9.496
124,rxn_6322,59.505,60.688,-1.183
127,rxn_6410,26.923,25.379,1.544
129,rxn_6583,47.041,40.914,6.127
130,rxn_6612,26.082,21.566,4.516
132,rxn_7236,28.22,35.715,-7.494
137,rxn_7911,31.446,76.893,-45.448
143,rxn_8339,20.581,75.459,-54.878
