,Name,wb97m-v-DFT-forward,wb97m-v-DFT-reverse,wb97m-v-DFT-reaction
0,rxn_33,11.027,56.985,-45.958
1,rxn_53,19.41,60.659,-41.248
2,rxn_216,11.673,46.547,-34.875
3,rxn_310,11.734,56.997,-45.263
4,rxn_365,27.022,65.834,-38.813
7,rxn_632,11.736,56.379,-44.642
11,rxn_721,17.062,60.627,-43.565
12,rxn_745,21.542,29.859,-8.317
13,rxn_751,6.231,22.753,-16.523
14,rxn_769,24.382,32.347,-7.965
18,rxn_853,22.815,32.356,-9.54
20,rxn_971,24.197,41.418,-17.222
21,rxn_1000,31.189,36.788,-5.599
22,rxn_1017,25.536,35.535,-9.999
23,rxn_1024,18.062,31.407,-13.346
25,rxn_1093,22.387,35.024,-12.637
26,rxn_1181,21.022,32.908,-11.886
29,rxn_1248,23.168,33.298,-10.13
30,rxn_1285,24.92,39.337,-14.417
33,rxn_1394,19.218,31.292,-12.074
34,rxn_1424,22.112,34.907,-12.795
35,rxn_1441,27.099,37.576,-10.477
36,rxn_1463,9.858,57.557,-47.699
37,rxn_1466,6.877,56.663,-49.786
38,rxn_1479,16.214,62.424,-46.21
39,rxn_1480,9.021,55.199,-46.178
41,rxn_1495,7.054,59.37,-52.316
43,rxn_1536,13.26,48.827,-35.567
45,rxn_1708,15.886,51.415,-35.529
47,rxn_1779,14.637,49.289,-34.652
48,rxn_1814,12.611,53.347,-40.736
49,rxn_1886,19.174,55.677,-36.503
51,rxn_1919,15.823,47.572,-31.749
53,rxn_2012,14.087,52.371,-38.284
54,rxn_2211,21.998,60.179,-38.181
56,rxn_2260,8.93,58.175,-49.246
57,rxn_2270,8.258,54.16,-45.902
58,rxn_2310,16.838,57.091,-40.253
59,rxn_2334,12.333,56.653,-44.319
60,rxn_2468,20.372,55.003,-34.631
62,rxn_2482,11.613,55.38,-43.767
63,rxn_2517,17.805,55.708,-37.902
64,rxn_2530,12.695,57.104,-44.408
66,rxn_2645,11.831,54.327,-42.496
67,rxn_2672,9.939,56.313,-46.374
68,rxn_2676,6.12,54.036,-47.916
70,rxn_2720,5.564,54.434,-48.869
71,rxn_2760,7.246,55.315,-48.069
72,rxn_2890,12.526,55.393,-42.867
74,rxn_2972,22.249,49.331,-27.083
77,rxn_3198,3.659,45.067,-41.408
78,rxn_3225,10.855,48.961,-38.105
80,rxn_3483,17.048,45.127,-28.079
81,rxn_3536,17.729,47.012,-29.283
82,rxn_3759,-10.897,26.478,-37.376
86,rxn_4392,9.185,37.901,-28.715
87,rxn_4581,19.172,48.965,-29.792
88,rxn_4652,-6.504,41.649,-48.152
90,rxn_4937,3.957,35.874,-31.916
91,rxn_5129,-2.907,42.247,-45.154
92,rxn_5245,37.055,40.295,-3.24
93,rxn_5345,38.516,44.324,-5.808
94,rxn_5374,36.553,42.305,-5.752
96,rxn_5432,35.088,49.377,-14.29
97,rxn_5506,35.974,41.608,-5.635
98,rxn_5534,41.016,40.901,0.115
101,rxn_5590,31.235,41.106,-9.871
103,rxn_5653,32.396,45.008,-12.612
105,rxn_5751,29.78,44.246,-14.466
106,rxn_5756,32.805,50.97,-18.165
108,rxn_5854,31.457,45.714,-14.257
112,rxn_5956,41.651,62.022,-20.371
116,rxn_6105,37.93,49.959,-12.029
119,rxn_6178,41.197,60.447,-19.25
120,rxn_6180,27.764,40.322,-12.558
124,rxn_6322,65.637,60.642,4.995
127,rxn_6410,27.721,26.779,0.942
129,rxn_6583,47.491,41.28,6.211
130,rxn_6612,28.155,21.751,6.404
132,rxn_7236,28.516,36.043,-7.527
137,rxn_7911,33.215,73.154,-39.938
143,rxn_8339,23.367,72.157,-48.791
