,Name,wb2-plyp18-DFT-forward,wb2-plyp18-DFT-reverse,wb2-plyp18-DFT-reaction
0,rxn_33,7.914,53.001,-45.087
1,rxn_53,16.666,57.654,-40.987
2,rxn_216,8.56,43.52,-34.96
3,rxn_310,7.933,53.141,-45.208
4,rxn_365,23.242,63.416,-40.174
7,rxn_632,8.473,53.306,-44.833
11,rxn_721,13.417,58.166,-44.749
12,rxn_745,18.718,27.23,-8.511
13,rxn_751,3.363,20.271,-16.908
14,rxn_769,20.85,28.966,-8.116
18,rxn_853,20.385,29.791,-9.406
20,rxn_971,20.958,39.906,-18.948
21,rxn_1000,29.208,34.494,-5.286
22,rxn_1017,23.391,32.881,-9.49
23,rxn_1024,14.419,29.363,-14.943
25,rxn_1093,19.826,32.434,-12.608
26,rxn_1181,17.473,31.178,-13.705
29,rxn_1248,20.842,30.634,-9.793
30,rxn_1285,21.567,37.839,-16.272
33,rxn_1394,15.742,28.994,-13.252
34,rxn_1424,19.209,32.34,-13.13
35,rxn_1441,24.416,35.104,-10.689
36,rxn_1463,6.017,54.113,-48.096
37,rxn_1466,3.027,53.496,-50.469
38,rxn_1479,14.226,59.659,-45.433
39,rxn_1480,7.419,52.193,-44.775
41,rxn_1495,4.787,56.707,-51.919
43,rxn_1536,9.082,45.773,-36.691
45,rxn_1708,11.84,48.001,-36.16
47,rxn_1779,10.45,46.046,-35.597
48,rxn_1814,8.389,51.804,-43.415
49,rxn_1886,15.344,52.782,-37.438
51,rxn_1919,10.88,43.861,-32.98
53,rxn_2012,9.399,49.58,-40.181
54,rxn_2211,18.039,58.182,-40.142
56,rxn_2260,5.469,56.092,-50.624
57,rxn_2270,4.74,52.146,-47.407
58,rxn_2310,12.091,54.82,-42.729
59,rxn_2334,8.595,54.809,-46.215
60,rxn_2468,16.083,53.125,-37.042
62,rxn_2482,7.813,53.565,-45.751
63,rxn_2517,13.822,53.851,-40.029
64,rxn_2530,9.318,55.118,-45.8
66,rxn_2645,7.526,52.246,-44.72
67,rxn_2672,6.283,54.494,-48.211
68,rxn_2676,0.64,51.639,-50.999
70,rxn_2720,2.476,52.661,-50.185
71,rxn_2760,3.903,53.454,-49.551
72,rxn_2890,8.025,53.187,-45.162
74,rxn_2972,19.817,46.022,-26.205
77,rxn_3198,0.283,41.94,-41.657
78,rxn_3225,7.96,46.05,-38.089
80,rxn_3483,15.4,41.527,-26.128
81,rxn_3536,14.922,42.628,-27.706
82,rxn_3759,-13.374,25.794,-39.168
86,rxn_4392,3.928,33.52,-29.592
87,rxn_4581,17.66,46.332,-28.672
88,rxn_4652,-9.852,38.985,-48.836
90,rxn_4937,1.614,32.373,-30.76
91,rxn_5129,-5.547,38.578,-44.124
92,rxn_5245,33.697,36.129,-2.432
93,rxn_5345,34.834,39.326,-4.492
94,rxn_5374,33.387,37.757,-4.37
96,rxn_5432,31.91,45.356,-13.446
97,rxn_5506,32.074,37.587,-5.512
98,rxn_5534,37.161,36.136,1.025
101,rxn_5590,28.966,37.268,-8.302
103,rxn_5653,29.881,40.624,-10.743
105,rxn_5751,27.322,40.043,-12.721
106,rxn_5756,30.292,47.266,-16.974
108,rxn_5854,29.607,41.463,-11.856
112,rxn_5956,39.226,58.447,-19.22
116,rxn_6105,36.063,46.193,-10.13
119,rxn_6178,38.275,55.77,-17.495
120,rxn_6180,25.524,36.134,-10.61
124,rxn_6322,61.762,57.148,4.614
127,rxn_6410,25.993,21.913,4.079
129,rxn_6583,45.987,37.054,8.934
130,rxn_6612,25.971,20.412,5.559
132,rxn_7236,26.714,32.601,-5.888
137,rxn_7911,29.934,72.318,-42.384
143,rxn_8339,20.105,71.643,-51.537
