,Name,rsx-qidh-DFT-forward,rsx-qidh-DFT-reverse,rsx-qidh-DFT-reaction
0,rxn_33,8.767,64.231,-55.464
1,rxn_53,16.885,67.951,-51.066
2,rxn_216,8.238,52.6,-44.362
3,rxn_310,8.266,64.288,-56.022
4,rxn_365,24.292,74.601,-50.309
7,rxn_632,8.986,63.293,-54.307
11,rxn_721,13.487,69.032,-55.545
12,rxn_745,16.443,34.67,-18.227
13,rxn_751,2.825,29.143,-26.317
14,rxn_769,19.807,36.649,-16.842
18,rxn_853,18.005,36.981,-18.976
20,rxn_971,20.151,47.689,-27.538
21,rxn_1000,28.468,41.84,-13.372
22,rxn_1017,22.439,40.331,-17.892
23,rxn_1024,12.817,37.035,-24.218
25,rxn_1093,18.458,40.168,-21.71
26,rxn_1181,15.801,38.698,-22.897
29,rxn_1248,19.171,38.261,-19.089
30,rxn_1285,20.503,45.576,-25.073
33,rxn_1394,14.215,36.591,-22.377
34,rxn_1424,17.402,40.079,-22.678
35,rxn_1441,23.946,42.763,-18.817
36,rxn_1463,6.065,61.131,-55.066
37,rxn_1466,2.686,60.655,-57.969
38,rxn_1479,15.389,68.018,-52.629
39,rxn_1480,7.5,59.802,-52.302
41,rxn_1495,5.68,65.132,-59.452
43,rxn_1536,8.336,56.242,-47.906
45,rxn_1708,11.506,58.841,-47.334
47,rxn_1779,9.68,56.579,-46.899
48,rxn_1814,7.609,62.039,-54.429
49,rxn_1886,15.274,63.529,-48.255
51,rxn_1919,10.883,55.026,-44.144
53,rxn_2012,9.203,59.97,-50.767
54,rxn_2211,18.028,68.505,-50.477
56,rxn_2260,5.607,65.47,-59.863
57,rxn_2270,4.342,61.015,-56.673
58,rxn_2310,13.675,64.957,-51.282
59,rxn_2334,8.239,64.202,-55.963
60,rxn_2468,16.331,62.135,-45.804
62,rxn_2482,7.27,62.525,-55.255
63,rxn_2517,14.615,63.267,-48.652
64,rxn_2530,8.899,64.101,-55.202
66,rxn_2645,7.13,61.594,-54.464
67,rxn_2672,5.95,63.653,-57.703
68,rxn_2676,0.632,60.407,-59.775
70,rxn_2720,2.242,61.394,-59.152
71,rxn_2760,3.75,62.47,-58.72
72,rxn_2890,8.13,62.713,-54.583
74,rxn_2972,21.218,55.995,-34.777
77,rxn_3198,1.569,51.625,-50.056
78,rxn_3225,9.142,55.393,-46.251
80,rxn_3483,15.309,50.716,-35.408
81,rxn_3536,15.127,52.545,-37.418
82,rxn_3759,-15.451,31.787,-47.237
86,rxn_4392,6.327,44.666,-38.339
87,rxn_4581,19.525,57.399,-37.874
88,rxn_4652,-9.392,48.34,-57.731
90,rxn_4937,1.179,41.724,-40.545
91,rxn_5129,-5.184,48.736,-53.92
92,rxn_5245,40.457,41.268,-0.812
93,rxn_5345,40.661,44.0,-3.339
94,rxn_5374,39.359,42.834,-3.475
96,rxn_5432,37.601,48.852,-11.251
97,rxn_5506,38.335,42.496,-4.161
98,rxn_5534,39.551,38.179,1.372
101,rxn_5590,34.825,44.875,-10.05
103,rxn_5653,35.9,49.211,-13.31
105,rxn_5751,32.661,47.6,-14.939
106,rxn_5756,37.24,55.46,-18.22
108,rxn_5854,35.837,49.853,-14.016
112,rxn_5956,46.407,66.922,-20.515
116,rxn_6105,42.786,54.476,-11.69
119,rxn_6178,45.897,66.038,-20.142
120,rxn_6180,31.465,43.862,-12.397
124,rxn_6322,61.783,66.099,-4.317
127,rxn_6410,24.185,30.093,-5.908
129,rxn_6583,45.293,46.971,-1.678
130,rxn_6612,25.031,26.644,-1.613
132,rxn_7236,26.101,40.875,-14.774
137,rxn_7911,29.475,82.527,-53.053
143,rxn_8339,19.806,82.544,-62.737
