,Name,m06-DFT-forward,m06-DFT-reverse,m06-DFT-reaction
0,rxn_33,14.709,50.393,-35.684
1,rxn_53,23.351,54.223,-30.872
2,rxn_216,14.078,40.287,-26.209
3,rxn_310,14.744,50.332,-35.588
4,rxn_365,28.408,59.914,-31.506
7,rxn_632,14.937,49.887,-34.95
11,rxn_721,19.445,54.933,-35.488
12,rxn_745,24.232,24.153,0.079
13,rxn_751,7.71,16.061,-8.351
14,rxn_769,25.91,25.392,0.518
18,rxn_853,26.659,27.105,-0.446
20,rxn_971,26.072,36.526,-10.455
21,rxn_1000,34.245,31.494,2.751
22,rxn_1017,28.989,30.222,-1.233
23,rxn_1024,19.415,27.451,-8.035
25,rxn_1093,26.108,30.173,-4.065
26,rxn_1181,22.478,29.061,-6.582
29,rxn_1248,26.878,28.283,-1.405
30,rxn_1285,26.272,35.388,-9.116
33,rxn_1394,20.84,26.132,-5.292
34,rxn_1424,25.175,30.001,-4.826
35,rxn_1441,29.742,32.125,-2.383
36,rxn_1463,14.511,53.134,-38.622
37,rxn_1466,10.402,53.386,-42.984
38,rxn_1479,20.484,57.854,-37.37
39,rxn_1480,14.348,50.568,-36.219
41,rxn_1495,11.622,55.175,-43.553
43,rxn_1536,15.041,42.405,-27.363
45,rxn_1708,16.832,44.524,-27.691
47,rxn_1779,16.287,42.485,-26.199
48,rxn_1814,13.833,48.792,-34.959
49,rxn_1886,20.478,50.878,-30.4
51,rxn_1919,14.607,38.257,-23.65
53,rxn_2012,15.18,46.333,-31.153
54,rxn_2211,23.412,55.389,-31.977
56,rxn_2260,12.746,54.823,-42.077
57,rxn_2270,12.154,50.366,-38.212
58,rxn_2310,15.06,49.275,-34.215
59,rxn_2334,15.811,53.935,-38.124
60,rxn_2468,22.346,51.312,-28.966
62,rxn_2482,15.02,52.461,-37.441
63,rxn_2517,18.793,50.504,-31.711
64,rxn_2530,16.429,54.21,-37.781
66,rxn_2645,14.429,50.941,-36.513
67,rxn_2672,13.308,53.003,-39.695
68,rxn_2676,6.86,48.913,-42.053
70,rxn_2720,9.046,51.933,-42.887
71,rxn_2760,10.436,52.569,-42.132
72,rxn_2890,13.835,50.392,-36.557
74,rxn_2972,25.379,45.475,-20.095
77,rxn_3198,7.17,39.997,-32.827
78,rxn_3225,14.29,43.046,-28.756
80,rxn_3483,21.873,40.146,-18.272
81,rxn_3536,21.33,41.257,-19.927
82,rxn_3759,-5.014,22.928,-27.942
86,rxn_4392,9.471,27.647,-18.176
87,rxn_4581,17.352,36.948,-19.596
88,rxn_4652,-5.76,31.243,-37.003
90,rxn_4937,6.947,26.407,-19.46
91,rxn_5129,-1.348,31.771,-33.119
92,rxn_5245,33.166,35.515,-2.349
93,rxn_5345,36.052,40.2,-4.149
94,rxn_5374,33.881,37.29,-3.409
96,rxn_5432,33.309,44.955,-11.646
97,rxn_5506,33.125,37.166,-4.041
98,rxn_5534,37.348,36.756,0.592
101,rxn_5590,27.949,36.963,-9.014
103,rxn_5653,27.848,39.631,-11.783
105,rxn_5751,26.97,40.079,-13.108
106,rxn_5756,28.448,45.662,-17.213
108,rxn_5854,27.742,40.367,-12.625
112,rxn_5956,36.187,55.442,-19.255
116,rxn_6105,32.631,44.599,-11.968
119,rxn_6178,35.603,53.207,-17.604
120,rxn_6180,24.335,35.331,-10.996
124,rxn_6322,57.4,57.779,-0.379
127,rxn_6410,27.345,23.583,3.762
129,rxn_6583,46.012,35.005,11.007
130,rxn_6612,25.135,16.097,9.038
132,rxn_7236,28.909,32.17,-3.261
137,rxn_7911,32.529,69.519,-36.99
143,rxn_8339,22.498,67.89,-45.392
