,Name,m062x-DFT-forward,m062x-DFT-reverse,m062x-DFT-reaction
0,rxn_33,12.371,52.259,-39.888
1,rxn_53,20.496,55.597,-35.1
2,rxn_216,13.174,43.496,-30.322
3,rxn_310,12.166,52.136,-39.97
4,rxn_365,27.259,62.236,-34.977
7,rxn_632,12.601,51.002,-38.4
11,rxn_721,17.175,56.565,-39.39
12,rxn_745,22.417,25.458,-3.041
13,rxn_751,6.789,18.508,-11.719
14,rxn_769,25.56,27.502,-1.942
18,rxn_853,24.245,27.945,-3.7
20,rxn_971,24.496,37.576,-13.08
21,rxn_1000,33.701,33.38,0.321
22,rxn_1017,27.827,31.519,-3.692
23,rxn_1024,17.776,27.595,-9.819
25,rxn_1093,23.769,31.072,-7.303
26,rxn_1181,20.96,29.306,-8.346
29,rxn_1248,25.21,29.59,-4.38
30,rxn_1285,25.053,35.622,-10.569
33,rxn_1394,19.572,27.437,-7.866
34,rxn_1424,23.027,30.902,-7.875
35,rxn_1441,28.933,33.808,-4.875
36,rxn_1463,11.543,52.064,-40.52
37,rxn_1466,8.16,51.594,-43.434
38,rxn_1479,19.54,57.456,-37.916
39,rxn_1480,12.464,49.704,-37.241
41,rxn_1495,9.515,54.197,-44.683
43,rxn_1536,13.245,44.331,-31.086
45,rxn_1708,16.104,46.92,-30.816
47,rxn_1779,14.874,44.833,-29.959
48,rxn_1814,11.875,49.803,-37.929
49,rxn_1886,19.238,51.399,-32.161
51,rxn_1919,15.344,42.822,-27.478
53,rxn_2012,13.485,47.609,-34.124
54,rxn_2211,21.614,56.246,-34.632
56,rxn_2260,10.455,54.623,-44.168
57,rxn_2270,8.823,50.049,-41.225
58,rxn_2310,16.286,52.285,-36.0
59,rxn_2334,12.992,53.236,-40.244
60,rxn_2468,20.708,51.224,-30.517
62,rxn_2482,12.082,51.602,-39.52
63,rxn_2517,18.316,51.634,-33.318
64,rxn_2530,13.843,53.499,-39.656
66,rxn_2645,11.606,50.294,-38.688
67,rxn_2672,10.643,52.397,-41.755
68,rxn_2676,5.998,50.122,-44.124
70,rxn_2720,6.347,50.552,-44.205
71,rxn_2760,8.074,51.631,-43.557
72,rxn_2890,12.519,51.067,-38.548
74,rxn_2972,24.248,47.856,-23.607
77,rxn_3198,4.691,42.859,-38.168
78,rxn_3225,12.967,47.617,-34.65
80,rxn_3483,19.384,42.93,-23.546
81,rxn_3536,19.548,45.123,-25.575
82,rxn_3759,-9.663,27.354,-37.017
86,rxn_4392,8.369,36.557,-28.188
87,rxn_4581,21.147,45.755,-24.608
88,rxn_4652,-3.515,38.636,-42.151
90,rxn_4937,7.996,33.549,-25.553
91,rxn_5129,0.274,39.665,-39.391
92,rxn_5245,35.515,36.817,-1.302
93,rxn_5345,36.716,41.079,-4.363
94,rxn_5374,35.061,39.047,-3.986
96,rxn_5432,34.233,46.114,-11.881
97,rxn_5506,34.296,38.619,-4.323
98,rxn_5534,40.06,39.854,0.207
101,rxn_5590,32.642,39.682,-7.04
103,rxn_5653,33.311,43.279,-9.968
105,rxn_5751,30.536,42.332,-11.796
106,rxn_5756,33.824,49.578,-15.754
108,rxn_5854,32.862,44.891,-12.029
112,rxn_5956,42.371,60.416,-18.044
116,rxn_6105,38.828,48.807,-9.98
119,rxn_6178,42.215,59.339,-17.123
120,rxn_6180,28.919,38.768,-9.849
124,rxn_6322,63.582,61.733,1.849
127,rxn_6410,28.111,27.427,0.684
129,rxn_6583,47.207,39.604,7.603
130,rxn_6612,28.0,21.747,6.252
132,rxn_7236,30.44,35.642,-5.202
137,rxn_7911,32.414,69.103,-36.688
143,rxn_8339,23.395,68.483,-45.089
