,Name,b97m-v-DFT-forward,b97m-v-DFT-reverse,b97m-v-DFT-reaction
0,rxn_33,10.15,45.835,-35.685
1,rxn_53,18.865,50.089,-31.225
2,rxn_216,9.687,36.375,-26.688
3,rxn_310,10.675,46.07,-35.396
4,rxn_365,25.002,55.82,-30.818
7,rxn_632,9.839,46.341,-36.502
11,rxn_721,15.924,50.779,-34.856
12,rxn_745,21.949,22.625,-0.677
13,rxn_751,2.806,13.536,-10.73
14,rxn_769,21.957,22.91,-0.953
18,rxn_853,24.417,26.234,-1.817
20,rxn_971,23.92,36.404,-12.484
21,rxn_1000,31.844,31.076,0.768
22,rxn_1017,25.77,29.523,-3.753
23,rxn_1024,16.635,25.548,-8.913
25,rxn_1093,22.108,28.457,-6.349
26,rxn_1181,20.379,27.901,-7.522
29,rxn_1248,24.358,27.327,-2.969
30,rxn_1285,24.469,34.996,-10.527
33,rxn_1394,18.324,24.342,-6.017
34,rxn_1424,21.603,28.199,-6.596
35,rxn_1441,26.217,31.061,-4.845
36,rxn_1463,7.927,54.075,-46.147
37,rxn_1466,4.572,54.052,-49.48
38,rxn_1479,15.492,59.751,-44.259
39,rxn_1480,8.865,51.971,-43.107
41,rxn_1495,5.709,56.416,-50.707
43,rxn_1536,11.056,38.655,-27.599
45,rxn_1708,13.019,40.327,-27.309
47,rxn_1779,12.405,38.457,-26.052
48,rxn_1814,11.138,46.016,-34.879
49,rxn_1886,17.46,47.223,-29.763
51,rxn_1919,10.721,33.718,-22.997
53,rxn_2012,11.535,43.488,-31.953
54,rxn_2211,20.329,52.114,-31.785
56,rxn_2260,8.163,51.163,-43.0
57,rxn_2270,8.339,47.465,-39.126
58,rxn_2310,11.355,46.402,-35.047
59,rxn_2334,12.015,50.152,-38.138
60,rxn_2468,19.038,48.4,-29.362
62,rxn_2482,11.724,49.201,-37.477
63,rxn_2517,15.309,47.786,-32.477
64,rxn_2530,12.776,50.703,-37.927
66,rxn_2645,11.234,46.576,-35.342
67,rxn_2672,9.435,50.078,-40.643
68,rxn_2676,4.045,46.531,-42.486
70,rxn_2720,5.224,48.782,-43.557
71,rxn_2760,6.248,49.279,-43.032
72,rxn_2890,10.253,46.364,-36.111
74,rxn_2972,23.104,42.454,-19.35
77,rxn_3198,3.7,36.769,-33.069
78,rxn_3225,11.507,41.338,-29.831
80,rxn_3483,20.081,37.962,-17.881
81,rxn_3536,20.488,38.202,-17.713
82,rxn_3759,-8.985,22.053,-31.038
86,rxn_4392,1.56,20.172,-18.612
87,rxn_4581,14.93,34.778,-19.848
88,rxn_4652,-9.332,29.552,-38.885
90,rxn_4937,4.251,24.178,-19.927
91,rxn_5129,-3.898,29.176,-33.074
92,rxn_5245,27.517,34.403,-6.886
93,rxn_5345,30.547,39.461,-8.914
94,rxn_5374,28.749,36.086,-7.337
96,rxn_5432,27.333,46.583,-19.25
97,rxn_5506,27.247,36.799,-9.552
98,rxn_5534,33.729,36.207,-2.478
101,rxn_5590,23.554,31.694,-8.14
103,rxn_5653,23.455,33.804,-10.349
105,rxn_5751,22.072,34.23,-12.157
106,rxn_5756,24.071,40.957,-16.886
108,rxn_5854,23.227,34.163,-10.936
112,rxn_5956,31.574,50.835,-19.261
116,rxn_6105,29.041,39.289,-10.248
119,rxn_6178,30.314,47.312,-16.999
120,rxn_6180,19.64,29.717,-10.076
124,rxn_6322,57.375,53.242,4.133
127,rxn_6410,27.013,18.62,8.393
129,rxn_6583,43.724,29.634,14.089
130,rxn_6612,24.948,15.001,9.947
132,rxn_7236,28.575,30.437,-1.862
137,rxn_7911,31.392,68.398,-37.007
143,rxn_8339,19.613,65.646,-46.033
