,Name,wb2-plyp-DFT-forward,wb2-plyp-DFT-reverse,wb2-plyp-DFT-reaction
0,rxn_33,12.349,59.194,-46.846
1,rxn_53,21.045,63.585,-42.541
2,rxn_216,12.852,49.791,-36.939
3,rxn_310,12.126,59.347,-47.221
4,rxn_365,28.063,69.081,-41.018
7,rxn_632,13.082,59.303,-46.222
11,rxn_721,17.416,63.869,-46.453
12,rxn_745,21.61,31.398,-9.789
13,rxn_751,6.493,24.358,-17.864
14,rxn_769,24.469,33.552,-9.083
18,rxn_853,23.146,33.762,-10.616
20,rxn_971,23.796,44.048,-20.252
21,rxn_1000,32.576,38.522,-5.945
22,rxn_1017,26.845,37.008,-10.163
23,rxn_1024,17.269,33.358,-16.089
25,rxn_1093,23.345,36.511,-13.165
26,rxn_1181,20.272,35.099,-14.827
29,rxn_1248,24.114,34.703,-10.589
30,rxn_1285,24.353,41.793,-17.441
33,rxn_1394,18.508,33.244,-14.736
34,rxn_1424,22.545,36.448,-13.903
35,rxn_1441,27.91,39.314,-11.404
36,rxn_1463,9.91,57.464,-47.554
37,rxn_1466,6.918,56.588,-49.67
38,rxn_1479,18.362,62.367,-44.005
39,rxn_1480,11.446,55.281,-43.835
41,rxn_1495,8.816,59.825,-51.009
43,rxn_1536,13.018,51.098,-38.08
45,rxn_1708,16.005,53.528,-37.524
47,rxn_1779,14.41,51.444,-37.033
48,rxn_1814,11.769,56.56,-44.791
49,rxn_1886,19.637,58.072,-38.435
51,rxn_1919,15.154,49.583,-34.429
53,rxn_2012,13.409,54.967,-41.558
54,rxn_2211,21.748,63.376,-41.628
56,rxn_2260,9.48,60.319,-50.839
57,rxn_2270,8.6,56.284,-47.684
58,rxn_2310,16.861,58.966,-42.106
59,rxn_2334,12.336,59.043,-46.706
60,rxn_2468,20.537,56.96,-36.423
62,rxn_2482,11.454,57.617,-46.163
63,rxn_2517,18.407,57.795,-39.388
64,rxn_2530,13.053,59.13,-46.077
66,rxn_2645,11.198,56.571,-45.373
67,rxn_2672,10.114,58.614,-48.499
68,rxn_2676,4.549,56.008,-51.459
70,rxn_2720,6.424,56.56,-50.136
71,rxn_2760,7.92,57.497,-49.577
72,rxn_2890,11.992,57.604,-45.612
74,rxn_2972,23.214,51.026,-27.812
77,rxn_3198,2.956,46.862,-43.906
78,rxn_3225,10.984,51.091,-40.107
80,rxn_3483,18.226,46.708,-28.482
81,rxn_3536,17.345,47.952,-30.606
82,rxn_3759,-13.372,28.249,-41.621
86,rxn_4392,6.599,39.465,-32.866
87,rxn_4581,22.283,51.477,-29.194
88,rxn_4652,-6.382,43.77,-50.152
90,rxn_4937,5.212,37.033,-31.821
91,rxn_5129,-2.13,43.758,-45.888
92,rxn_5245,39.171,40.261,-1.091
93,rxn_5345,39.843,43.335,-3.492
94,rxn_5374,38.367,42.099,-3.732
96,rxn_5432,36.878,49.092,-12.214
97,rxn_5506,37.349,41.462,-4.113
98,rxn_5534,41.684,39.845,1.839
101,rxn_5590,33.639,41.852,-8.213
103,rxn_5653,34.469,45.699,-11.231
105,rxn_5751,31.802,45.027,-13.224
106,rxn_5756,35.156,52.452,-17.296
108,rxn_5854,34.262,46.707,-12.445
112,rxn_5956,44.238,63.801,-19.563
116,rxn_6105,41.173,51.081,-9.908
119,rxn_6178,43.69,61.999,-18.308
120,rxn_6180,30.234,40.882,-10.648
124,rxn_6322,65.422,62.577,2.845
127,rxn_6410,27.425,26.777,0.648
129,rxn_6583,48.563,42.515,6.048
130,rxn_6612,27.913,23.675,4.238
132,rxn_7236,28.615,36.9,-8.285
137,rxn_7911,33.615,77.436,-43.821
143,rxn_8339,23.871,76.717,-52.846
