,Name,wb97x-DFT-forward,wb97x-DFT-reverse,wb97x-DFT-reaction
0,rxn_33,21.634,62.059,-40.425
1,rxn_53,29.56,65.798,-36.238
2,rxn_216,21.883,53.319,-31.436
3,rxn_310,20.95,61.913,-40.962
4,rxn_365,35.454,70.669,-35.214
7,rxn_632,22.774,62.079,-39.306
11,rxn_721,24.58,66.211,-41.631
12,rxn_745,28.535,33.509,-4.974
13,rxn_751,13.359,24.691,-11.332
14,rxn_769,32.111,34.99,-2.879
18,rxn_853,30.218,35.995,-5.776
20,rxn_971,30.338,45.255,-14.917
21,rxn_1000,40.385,39.888,0.498
22,rxn_1017,35.432,38.746,-3.314
23,rxn_1024,23.119,34.946,-11.826
25,rxn_1093,32.128,37.877,-5.748
26,rxn_1181,26.059,36.783,-10.725
29,rxn_1248,32.55,36.657,-4.106
30,rxn_1285,29.98,43.122,-13.142
33,rxn_1394,25.004,34.835,-9.831
34,rxn_1424,31.004,37.849,-6.844
35,rxn_1441,35.609,40.488,-4.879
36,rxn_1463,18.42,60.431,-42.011
37,rxn_1466,14.857,59.535,-44.678
38,rxn_1479,25.962,63.338,-37.376
39,rxn_1480,19.851,57.547,-37.695
41,rxn_1495,16.742,61.434,-44.692
43,rxn_1536,21.031,53.62,-32.589
45,rxn_1708,23.846,55.876,-32.03
47,rxn_1779,22.394,53.876,-31.482
48,rxn_1814,18.013,58.136,-40.123
49,rxn_1886,27.348,59.919,-32.571
51,rxn_1919,22.46,51.554,-29.094
53,rxn_2012,20.975,56.918,-35.943
54,rxn_2211,28.131,64.713,-36.582
56,rxn_2260,19.203,61.347,-42.144
57,rxn_2270,18.636,57.89,-39.254
58,rxn_2310,24.501,57.999,-33.498
59,rxn_2334,21.534,60.387,-38.853
60,rxn_2468,29.639,57.852,-28.213
62,rxn_2482,20.591,58.971,-38.381
63,rxn_2517,27.355,58.277,-30.923
64,rxn_2530,22.494,60.342,-37.848
66,rxn_2645,19.639,58.073,-38.434
67,rxn_2672,19.566,59.725,-40.159
68,rxn_2676,13.401,57.204,-43.802
70,rxn_2720,15.246,58.138,-42.892
71,rxn_2760,16.583,59.097,-42.514
72,rxn_2890,20.119,58.567,-38.448
74,rxn_2972,29.92,50.829,-20.909
77,rxn_3198,9.776,46.56,-36.784
78,rxn_3225,17.953,51.198,-33.245
80,rxn_3483,25.067,46.889,-21.822
81,rxn_3536,24.041,47.993,-23.951
82,rxn_3759,-7.44,26.548,-33.988
86,rxn_4392,12.762,38.44,-25.678
87,rxn_4581,27.968,49.244,-21.277
88,rxn_4652,0.456,42.594,-42.138
90,rxn_4937,12.621,36.926,-24.304
91,rxn_5129,4.828,43.27,-38.441
92,rxn_5245,43.121,45.137,-2.016
93,rxn_5345,43.963,48.359,-4.396
94,rxn_5374,41.92,47.172,-5.252
96,rxn_5432,40.826,53.652,-12.826
97,rxn_5506,41.838,46.049,-4.211
98,rxn_5534,45.046,44.618,0.428
101,rxn_5590,35.747,45.133,-9.386
103,rxn_5653,36.327,48.942,-12.615
105,rxn_5751,34.604,49.231,-14.627
106,rxn_5756,36.844,55.325,-18.48
108,rxn_5854,36.041,50.316,-14.274
112,rxn_5956,44.451,65.781,-21.33
116,rxn_6105,42.429,53.656,-11.226
119,rxn_6178,44.661,64.655,-19.994
120,rxn_6180,32.742,44.062,-11.32
124,rxn_6322,67.382,66.453,0.929
127,rxn_6410,30.723,28.244,2.479
129,rxn_6583,51.932,44.091,7.842
130,rxn_6612,30.154,23.151,7.003
132,rxn_7236,32.444,37.929,-5.484
137,rxn_7911,39.053,79.088,-40.034
143,rxn_8339,28.755,77.455,-48.7
