,Name,m06-DFT-forward,m06-DFT-reverse,m06-DFT-reaction
0,rxn_33,14.709,50.393,-35.684
1,rxn_53,23.351,54.223,-30.872
2,rxn_216,14.078,40.287,-26.209
3,rxn_365,28.408,59.914,-31.506
6,rxn_632,14.937,49.887,-34.95
10,rxn_721,19.445,54.933,-35.488
11,rxn_745,24.232,24.153,0.079
12,rxn_769,25.91,25.392,0.518
16,rxn_853,26.659,27.105,-0.446
18,rxn_971,26.072,36.526,-10.455
19,rxn_1000,34.245,31.494,2.751
20,rxn_1017,28.989,30.222,-1.233
21,rxn_1024,19.415,27.451,-8.035
23,rxn_1093,26.108,30.173,-4.065
24,rxn_1181,22.478,29.061,-6.582
27,rxn_1248,26.878,28.283,-1.405
28,rxn_1285,26.272,35.388,-9.116
31,rxn_1394,20.84,26.132,-5.292
32,rxn_1424,25.175,30.001,-4.826
33,rxn_1441,29.742,32.125,-2.383
34,rxn_1463,14.511,53.134,-38.622
35,rxn_1466,10.402,53.386,-42.984
36,rxn_1479,20.484,57.854,-37.37
37,rxn_1480,14.348,50.568,-36.219
41,rxn_1536,15.041,42.405,-27.363
43,rxn_1708,16.832,44.524,-27.691
45,rxn_1779,16.287,42.485,-26.199
46,rxn_1814,13.833,48.792,-34.959
48,rxn_1919,14.607,38.257,-23.65
50,rxn_2012,15.18,46.333,-31.153
51,rxn_2211,23.412,55.389,-31.977
53,rxn_2270,12.154,50.366,-38.212
54,rxn_2310,15.06,49.275,-34.215
55,rxn_2334,15.811,53.935,-38.124
56,rxn_2468,22.346,51.312,-28.966
58,rxn_2482,15.02,52.461,-37.441
59,rxn_2517,18.793,50.504,-31.711
60,rxn_2530,16.429,54.21,-37.781
62,rxn_2645,14.429,50.941,-36.513
63,rxn_2672,13.308,53.003,-39.695
65,rxn_2720,9.046,51.933,-42.887
66,rxn_2890,13.835,50.392,-36.557
68,rxn_2972,25.379,45.475,-20.095
71,rxn_3225,14.29,43.046,-28.756
73,rxn_3483,21.873,40.146,-18.272
74,rxn_3536,21.33,41.257,-19.927
75,rxn_3759,-5.014,22.928,-27.942
79,rxn_4392,9.471,27.647,-18.176
80,rxn_4581,17.352,36.948,-19.596
81,rxn_4652,-5.76,31.243,-37.003
83,rxn_5129,-1.348,31.771,-33.119
84,rxn_5245,33.166,35.515,-2.349
85,rxn_5345,36.052,40.2,-4.149
86,rxn_5374,33.881,37.29,-3.409
88,rxn_5432,33.309,44.955,-11.646
89,rxn_5534,37.348,36.756,0.592
92,rxn_5590,27.949,36.963,-9.014
95,rxn_5751,26.97,40.079,-13.108
96,rxn_5756,28.448,45.662,-17.213
98,rxn_5854,27.742,40.367,-12.625
102,rxn_5956,36.187,55.442,-19.255
106,rxn_6105,32.631,44.599,-11.968
109,rxn_6178,35.603,53.207,-17.604
110,rxn_6180,24.335,35.331,-10.996
114,rxn_6322,57.4,57.779,-0.379
117,rxn_6410,27.345,23.583,3.762
119,rxn_6583,46.012,35.005,11.007
120,rxn_6612,25.135,16.097,9.038
122,rxn_7236,28.909,32.17,-3.261
127,rxn_7911,32.529,69.519,-36.99
