,Name,pbe0-dh-DFT-forward,pbe0-dh-DFT-reverse,pbe0-dh-DFT-reaction
0,rxn_33,16.311,56.893,-40.582
1,rxn_53,23.964,60.533,-36.569
2,rxn_216,15.578,47.463,-31.885
3,rxn_365,29.335,66.199,-36.865
6,rxn_632,16.893,56.881,-39.988
10,rxn_721,18.239,61.559,-43.32
11,rxn_745,22.189,29.495,-7.306
12,rxn_769,25.977,30.578,-4.6
16,rxn_853,24.23,32.135,-7.905
18,rxn_971,24.811,42.49,-17.679
19,rxn_1000,35.147,36.376,-1.229
20,rxn_1017,30.113,35.191,-5.078
21,rxn_1024,16.556,31.934,-15.378
23,rxn_1093,26.319,34.553,-8.234
24,rxn_1181,19.482,33.772,-14.291
27,rxn_1248,26.73,33.129,-6.4
28,rxn_1285,24.178,40.584,-16.406
31,rxn_1394,18.701,30.916,-12.215
32,rxn_1424,24.891,34.507,-9.616
33,rxn_1441,30.123,37.185,-7.061
34,rxn_1463,13.111,57.795,-44.684
35,rxn_1466,9.334,57.383,-48.049
36,rxn_1479,22.976,62.66,-39.684
37,rxn_1480,16.083,56.008,-39.925
41,rxn_1536,12.977,49.258,-36.281
43,rxn_1708,16.085,51.45,-35.366
45,rxn_1779,14.413,49.416,-35.003
46,rxn_1814,10.545,55.399,-44.854
48,rxn_1919,14.26,46.798,-32.539
50,rxn_2012,13.476,53.403,-39.927
51,rxn_2211,21.219,61.495,-40.276
53,rxn_2270,12.774,55.648,-42.873
54,rxn_2310,18.554,56.679,-38.125
55,rxn_2334,15.142,58.328,-43.186
56,rxn_2468,23.154,55.908,-32.754
58,rxn_2482,14.31,56.837,-42.526
59,rxn_2517,21.22,56.62,-35.4
60,rxn_2530,16.182,57.989,-41.806
62,rxn_2645,13.127,55.517,-42.39
63,rxn_2672,13.355,58.106,-44.751
65,rxn_2720,10.003,56.344,-46.341
66,rxn_2890,13.608,56.166,-42.558
68,rxn_2972,28.034,49.486,-21.451
71,rxn_3225,15.44,49.583,-34.143
73,rxn_3483,22.859,44.859,-22.0
74,rxn_3536,21.401,45.45,-24.05
75,rxn_3759,-9.728,27.871,-37.599
79,rxn_4392,8.145,36.0,-27.855
80,rxn_4581,25.592,47.332,-21.739
81,rxn_4652,-3.671,40.124,-43.795
83,rxn_5129,1.082,40.064,-38.982
84,rxn_5245,36.681,38.797,-2.116
85,rxn_5345,37.287,41.743,-4.455
86,rxn_5374,35.757,40.721,-4.964
88,rxn_5432,34.361,47.509,-13.148
89,rxn_5534,37.624,37.782,-0.158
92,rxn_5590,32.203,40.237,-8.034
95,rxn_5751,29.909,43.185,-13.276
96,rxn_5756,33.738,50.361,-16.623
98,rxn_5854,32.308,44.595,-12.286
102,rxn_5956,41.282,60.937,-19.655
106,rxn_6105,39.613,48.78,-9.167
109,rxn_6178,40.895,59.957,-19.062
110,rxn_6180,29.169,38.664,-9.496
114,rxn_6322,59.505,60.688,-1.183
117,rxn_6410,26.923,25.379,1.544
119,rxn_6583,47.041,40.914,6.127
120,rxn_6612,26.082,21.566,4.516
122,rxn_7236,28.22,35.715,-7.494
127,rxn_7911,31.446,76.893,-45.448
